Fatty_Acid	Class	Fstat.pval	Fstat.pval.adj
Arachidic	saturated	0.814197432040901	0.849597320390505
Behenic	saturated	0.492627341360184	0.537411645120201
Lignoceric	saturated	0.93553414014668	0.93553414014668
Myristic	saturated	0.0505820820935824	0.0933823054035367
Palmitic	saturated	0.011300204628914	0.0301338790104374
Stearic	saturated	0.0257378594511567	0.0561553297116146
Eicosenoic	cis-monounsaturated	0.269289061878558	0.32314687425427
Nervonic	cis-monounsaturated	0.0740031091544875	0.126862472836264
Oleic	cis-monounsaturated	0.0961026338205466	0.14415395073082
Palmitoleic	cis-monounsaturated	0.000115674345213646	0.000555236857025498
alphaLinolenic	Omega-3	0.00116804928513847	0.00350414785541542
Docosahexaenoic	Omega-3	0.000324248493396739	0.00111170912021739
Docosapentaenoicn3	Omega-3	0.147952527114411	0.186887402670835
Eicosapentaenoic	Omega-3	0.000113232393627927	0.000555236857025498
Arachidonic	Omega-6	0.394710861614457	0.451098127559379
Dihomoglinolenic	Omega-6	0.000261421432877995	0.00104568573151198
Docosapentaenoicn6	Omega-6	4.6687845967508e-05	0.000373502767740064
Docosatetraenoic	Omega-6	1.25453478421189e-05	0.000249022921757991
Eicosadienoic	Omega-6	0.0920298282994001	0.14415395073082
gammaLinolenic	Omega-6	0.0210194039419502	0.0504465694606806
Linoleic	Omega-6	2.07519101464992e-05	0.000249022921757991
Elaidic	trans	0.106128195370118	0.14982804052252
Palmitelaidic	trans	0.0307426242614419	0.0614852485228838
Linoelaidic	trans	0.117761070030295	0.157014760040393
