Fatty_Acid	Class	age_l	age_m	age_u	bmi_l	bmi_m	bmi_u	education_l	education_m	education_u	smoke_l	smoke_m	smoke_u	diabetes_l	diabetes_m	diabetes_u	aspirin_l	aspirin_m	aspirin_u
Arachidic	saturated	-0.0100278633615876	-0.00365512831048235	0.00271760674062288	-0.00652351615359434	0.00318768185722856	0.0128988798680515	-0.065645360086557	0.00744567274645449	0.0805367055794659	-0.0594246543491233	0.00340235143532423	0.0662293572197718	-0.127945681842469	-0.0151785302354678	0.0975886213715336	-0.0423109187374716	0.0578974881942012	0.158105895125874
Behenic	saturated	-0.00732897867520383	-0.00137838349062344	0.00457221169395695	-0.0066058463100195	0.00246206686325564	0.0115299800365308	-0.0375829000948055	0.0306664692143256	0.0989158385234566	-0.109735640168488	-0.0510703928163802	0.00759485453572798	-0.120981210670928	-0.0156839303116749	0.0896133500475785	-0.0595348365955872	0.0340356098391296	0.127606056273846
Lignoceric	saturated	-0.00807220882488812	-0.00205812848508342	0.00395595185472129	-0.0136516646351553	-0.00448700855507683	0.00467764752500161	-0.0533063922887734	0.0156711095298215	0.0846486113484164	-0.0805814815810411	-0.0212903519064263	0.0380007777681884	-0.0854371452954965	0.020983520873235	0.127404187041967	-0.0747262415285702	0.0198424805629598	0.11441120265449
Myristic	saturated	-0.0208139919628745	-0.00913789731410822	0.00253819733465803	0.0034834932196628	0.0212763037190752	0.0390691142184876	-0.0678842750507119	0.0660327653550891	0.19994980576089	-0.0547555138774917	0.060355825312825	0.175467164503142	-0.338570319496658	-0.131958884237512	0.0746525510216346	-0.188504461261462	-0.00490309786673292	0.178698265527996
Palmitic	saturated	-0.0119071712527512	-0.00631626522894098	-0.000725359205130742	0.000995610076921808	0.00951540495647003	0.0180351998360182	-0.0365660064919571	0.0275579673553041	0.0916819412025652	-0.0122721673035068	0.0428470055918593	0.0979661784872254	-0.169136548274468	-0.0702040581973596	0.0287284318797485	-0.0698522046676149	0.018062290671957	0.105976786011529
Stearic	saturated	-0.00948323844941541	-0.00467809244220585	0.000127053565003703	0.000313996659785217	0.00763639810480278	0.0149587995498203	-0.0565644867509232	-0.00145265772243471	0.0536591713060538	-0.028066469463965	0.0193061160223423	0.0666787015086497	-0.189851958000965	-0.104823689299475	-0.0197954205979857	-0.048154261509824	0.0274045091899006	0.102963279889625
Eicosenoic	cis-monounsaturated	-0.00784462573946549	-0.000999535252689737	0.00584555523408602	-0.00286088548897813	0.0075701191873501	0.0180011238636783	-0.0289627343148314	0.0495459012241734	0.128054536763178	-0.0140761993899076	0.0534076260255461	0.120891451441	-0.0653289812997095	0.0557966186971102	0.17692221869393	-0.0852223894467624	0.0224135953356246	0.130049580118012
Nervonic	cis-monounsaturated	-0.00435529612881326	0.00220285501618562	0.0087610061611845	-0.0215364071273179	-0.011542659726358	-0.00154891232539809	-0.119837835206366	-0.0446202030878254	0.0305974290307156	-0.0761476818001916	-0.011492710799841	0.0531622602005096	-0.16720260690948	-0.0511544708267693	0.0648936652559412	-0.0363089491869625	0.0668150428489983	0.169939034884959
Oleic	cis-monounsaturated	-0.0115193771963994	-0.00525284074695486	0.00101369570248969	-0.00140837201923459	0.00814099349095414	0.0176903590011429	-0.0612188809117229	0.0106541245878826	0.082527130087488	-0.00427135222512196	0.0575086713597944	0.119288694944711	-0.147925084615592	-0.0370371440095008	0.0738507965965906	-0.0522320055314563	0.0463064759121103	0.144844957355677
Palmitoleic	cis-monounsaturated	-0.0234751134820518	-0.0122219484627632	-0.000968783443474678	-0.0104919404317997	0.00665638173668969	0.023804703905179	-0.146896277995642	-0.017829959169557	0.111236359656528	0.117743833697959	0.228685628404703	0.339627423111447	-0.324614259947764	-0.125486670990706	0.0736409179663517	-0.115899437926595	0.0610515463021571	0.238002530530909
alphaLinolenic	Omega-3	-0.0240311974136083	-0.0146465634336589	-0.00526192945370946	0.00362850082772029	0.0179294309789872	0.032230361130254	-0.0637823595456334	0.0438531509304091	0.151488661406452	-0.138490912038635	-0.0459704402765227	0.04655003148559	-0.238506388338883	-0.0724429266844336	0.0936205349700153	-0.193767400925728	-0.046198231138184	0.10137093864936
Docosahexaenoic	Omega-3	-0.00100809131439342	0.00539996892877273	0.0118080291719389	0.00536658104313567	0.015131609933812	0.0248966388244884	-0.0231663777472362	0.0503298115456079	0.123826000838452	-0.148085368970758	-0.0849101020349915	-0.0217348350992251	-0.195856385596613	-0.0824641458199741	0.0309280939566647	-0.117503083411672	-0.0167392036425768	0.0840246761265186
Docosapentaenoicn3	Omega-3	-0.012937328774629	-0.00660092052202546	-0.000264512269421867	-0.00873794663184413	0.00091789418453719	0.0105737350009185	-0.0362094382143578	0.0364649503990669	0.109139339012491	-0.0998301801408948	-0.0373613100644737	0.0251075600119474	-0.196633114325841	-0.0845087745666855	0.0276155651924703	-0.0926132643402984	0.00702391994088222	0.106661104222063
Eicosapentaenoic	Omega-3	-0.00896652072338163	0.00113405669356983	0.0112346341105213	0.00620231470066507	0.0215942471336085	0.0369861795665518	0.0154581619197606	0.131305067478267	0.247151973036774	-0.245998774265403	-0.146420017152158	-0.0468412600389135	-0.360343152116247	-0.181610891044436	-0.00287862997262542	-0.0867272011337541	0.0720998588217977	0.230926918777349
Arachidonic	Omega-6	-0.00882411487968727	-0.00387835368322865	0.00106740751322997	-0.00235905484021285	0.00517762539329603	0.0127143056268049	-0.0792237013519775	-0.0224991096192807	0.0342254821134161	-0.0612658094793043	-0.0125069383185595	0.0362519328421852	-0.132923141987415	-0.0454066521003381	0.0421098377867391	-0.0365674656131991	0.0412024160133167	0.118972297639832
Dihomoglinolenic	Omega-6	-0.015200594954024	-0.00877586232090006	-0.00235112968777608	0.00311057248958518	0.0129010078782401	0.0226914432668951	-0.0540674203646697	0.0196199901529766	0.0933074006706228	0.000499859078191334	0.063839494425938	0.127179129773685	-0.231611363803496	-0.117924101887863	-0.00423683997222879	-0.113364961923074	-0.0123389162826504	0.0886871293577733
Docosapentaenoicn6	Omega-6	-0.0247902724929752	-0.0154817985131266	-0.00617332453327797	-0.0138242265768652	0.000360645894998345	0.0145455183668619	-0.23047682287475	-0.123714816949468	-0.0169528110241862	0.0502020341382914	0.141971665840601	0.233741297542911	-0.140929083940407	0.0237867073325039	0.188502498605415	-0.136270260466032	0.0101013274009052	0.156472915267842
Docosatetraenoic	Omega-6	-0.021006986761027	-0.0136361720519637	-0.00626535734290045	-0.0139773676513285	-0.00274522939879189	0.00848690885374467	-0.111422724035456	-0.0268843813010042	0.0576539614334477	0.0573130173291166	0.129979810260057	0.202646603190998	-0.14361671810529	-0.0131882955993358	0.117240126906618	-0.0767815355045208	0.0391212274160363	0.155023990336593
Eicosadienoic	Omega-6	-0.0124190186806647	-0.00634409544162678	-0.000269172202588841	-0.00224753321671402	0.00700983932454916	0.0162672118658123	-0.0480636864167847	0.0216116429922951	0.0912869724013749	-0.0443176645347091	0.0155732982023841	0.0754642609394774	-0.170100193822694	-0.0626028972296594	0.0448943993633753	-0.117416071314799	-0.0218906218595272	0.0736348275957443
