Fatty_Acid	Class	age_pval	age_pval.adj	bmi_pval	bmi_pval.adj	education_pval	education_pval.adj	smoke_pval	smoke_pval.adj	diabetes_pval	diabetes_pval.adj	aspirin_pval	aspirin_pval.adj
Arachidic	saturated	0.260172552321916	0.780517656965748	0.519089216366163	0.915266672424481	0.841371723953454	0.915266672424481	0.915266672424481	0.915266672424481	0.791438990506407	0.915266672424481	0.25669312540005	0.780517656965748
Behenic	saturated	0.649075537296562	0.76980565712902	0.593786735471072	0.76980565712902	0.377572407786254	0.76980565712902	0.087779972112395	0.52667983267437	0.76980565712902	0.76980565712902	0.474963019166198	0.76980565712902
Lignoceric	saturated	0.501472127847836	0.698489897652531	0.336366464158541	0.698489897652531	0.655370157461081	0.698489897652531	0.480637725851035	0.698489897652531	0.698489897652531	0.698489897652531	0.680194849022447	0.698489897652531
Myristic	saturated	0.124700262854029	0.374100788562086	0.0192190376311849	0.115314225787109	0.332939475387306	0.399527370464767	0.303259166193825	0.399527370464767	0.209990451739639	0.399527370464767	0.958155534358466	0.958155534358466
Palmitic	saturated	0.0269135347143938	0.0860757671593357	0.0286919223864452	0.0860757671593357	0.398678027650698	0.478413633180837	0.127248082570416	0.245658099134362	0.163772066089575	0.245658099134362	0.686493382890129	0.686493382890129
Stearic	saturated	0.0563419505814538	0.112683901162908	0.0409953165690794	0.112683901162908	0.958698388449294	0.958698388449294	0.423491694296001	0.571488289924389	0.0158117605386484	0.0948705632318902	0.476240241603658	0.571488289924389
Eicosenoic	cis-monounsaturated	0.774204534372485	0.774204534372485	0.154434084121378	0.430900192975459	0.215450096487729	0.430900192975459	0.120531220155143	0.430900192975459	0.365683940279186	0.54852591041878	0.682478779067859	0.774204534372485
Nervonic	cis-monounsaturated	0.509405597589341	0.611286717107209	0.0237030429375266	0.14221825762516	0.244217775860031	0.488435551720061	0.726929425452096	0.726929425452096	0.386681386111415	0.580022079167123	0.203491021266605	0.488435551720061
Oleic	cis-monounsaturated	0.100156011701826	0.200312023403652	0.0945226841605121	0.200312023403652	0.770877541254515	0.770877541254515	0.0679941440234673	0.200312023403652	0.511790614309101	0.614148737170921	0.356113872282514	0.534170808423771
Palmitoleic	cis-monounsaturated	0.0333559272252062	0.100067781675619	0.445844926040354	0.59757398983195	0.786078283198293	0.786078283198293	6.10119722292839e-05	0.000366071833375704	0.21610857263893	0.432217145277861	0.497978324859958	0.59757398983195
alphaLinolenic	Omega-3	0.0023009419059206	0.0138056514355236	0.0141329867282083	0.042398960184625	0.423622444959985	0.508346933951982	0.329250451553902	0.508346933951982	0.391616204211988	0.508346933951982	0.538597654474872	0.538597654474872
Docosahexaenoic	Omega-3	0.0983735358336135	0.196747071667227	0.00247090926989995	0.0148254556193997	0.178979801496502	0.214775761795803	0.00855982567902616	0.0256794770370785	0.153577999891324	0.214775761795803	0.74414799564048	0.74414799564048
Docosapentaenoicn3	Omega-3	0.0412149171609023	0.247289502965414	0.851844639768202	0.88984366788105	0.32451841952889	0.486777629293335	0.240378554778522	0.480757109557044	0.139198077007909	0.417594231023726	0.88984366788105	0.88984366788105
Eicosapentaenoic	Omega-3	0.825414584978119	0.825414584978119	0.00608180226227723	0.0182454067868317	0.0264210819590836	0.0528421639181672	0.0040548302851662	0.0182454067868317	0.0464397463534879	0.0696596195302318	0.372689930038866	0.447227916046639
Arachidonic	Omega-6	0.123952228875212	0.462515307708895	0.177593635117486	0.462515307708895	0.435986889211408	0.523184267053689	0.61434257325914	0.61434257325914	0.308343538472597	0.462515307708895	0.298246280434719	0.462515307708895
Dihomoglinolenic	Omega-6	0.0075484162606792	0.0298044077137675	0.00993480257125584	0.0298044077137675	0.600947436395593	0.721136923674711	0.0482277914406188	0.0723416871609281	0.0420895569561573	0.0723416871609281	0.810364566966737	0.810364566966737
Docosapentaenoicn6	Omega-6	0.00117040713563516	0.00702244281381097	0.960160155175028	0.960160155175028	0.0232496410565485	0.0464992821130971	0.00251109652315008	0.00753328956945023	0.776629805521156	0.960160155175028	0.892147325664382	0.960160155175028
Docosatetraenoic	Omega-6	0.000312169676642047	0.00146344627300308	0.631137023402256	0.757364428082707	0.532195361897306	0.757364428082707	0.00048781542433436	0.00146344627300308	0.842529268513633	0.842529268513633	0.507342490543941	0.757364428082707
Eicosadienoic	Omega-6	0.0407210542726669	0.244326325636002	0.13737078807222	0.412112364216659	0.542345158755729	0.652580302261086	0.609491037067933	0.652580302261086	0.252934657658103	0.505869315316206	0.652580302261086	0.652580302261086
gammaLinolenic	Omega-6	0.00451681304131442	0.0271008782478865	0.0916376311985626	0.274912893595688	0.832627117749009	0.855095775786107	0.774193333547625	0.855095775786107	0.213749422744117	0.427498845488234	0.855095775786107	0.855095775786107
