Fatty_Acid	Class	Fstat	Fstat.pval	Fstat.pval.adj	Age.est	Age.se	Age.pval	Age.pval.adj	BMI.est	BMI.se	BMI.pval	BMI.pval.adj	Education.est	Education.se	Education.pval	Education.pval.adj	Smoking.est	Smoking.se	Smoking.pval	Smoking.pval.adj	Diabetes.est	Diabetes.se	Diabetes.pval	Diabetes.pval.adj	Aspirin.est	Aspirin.se	Aspirin.pval	Aspirin.pval.adj	Gleason.est	Gleason.se	Gleason.pval	Gleason.pval.adj
Arachidic	saturated	0.422209749933267	0.888398725840102	0.888398725840102	-0.00372773827561025	0.00332989950623684	0.263617936034155	0.922367747097666	0.00320589229968721	0.00494935416314187	0.517529737194453	0.922367747097666	0.00741503937287171	0.0372259610375122	0.842216609769666	0.922367747097666	0.00345259279737748	0.032001402464921	0.914138683949148	0.922367747097666	-0.0152684088305214	0.0574387377543126	0.790515941954476	0.922367747097666	0.0583245234173714	0.0512228224478736	0.255542061730493	0.922367747097666	0.0026726799217804	0.0274081910231993	0.922367747097666	0.922367747097666
Behenic	saturated	1.31314812296373	0.242481752649303	0.290978103179164	-4.06301696895821e-05	0.00309475500458661	0.989531726841627	0.989531726841627	0.00212656085066044	0.00459985009672705	0.644112926596742	0.901758097235439	0.0312308531410991	0.0345972090165513	0.367235999308571	0.856883998386666	-0.0519960308994805	0.0297415883712439	0.0811958977269186	0.284185642044215	-0.0140280227678267	0.0533826383617157	0.79285523619477	0.924997775560566	0.0261679874412192	0.047605666724386	0.582848016477223	0.901758097235439	-0.0492409882700947	0.0254727315874976	0.0539399586818594	0.284185642044215
Lignoceric	saturated	0.600334259659715	0.755706067755565	0.788562853310155	-0.00097693380482844	0.0031331010945625	0.755349063410966	0.779799268942038	-0.00475817014394007	0.00465684532427277	0.307520694364247	0.779799268942038	0.0161272540892855	0.0350258916385673	0.645455182401442	0.779799268942038	-0.0220384681365478	0.0301101065970871	0.46464577234252	0.779799268942038	0.0223218531347861	0.0540440850515941	0.679808413357632	0.779799268942038	0.0134837361294662	0.0481955328614049	0.779799268942038	0.779799268942038	-0.0397973929386018	0.0257883558149205	0.123575449296544	0.779799268942038
Myristic	saturated	1.86464661509212	0.07402162571329	0.104501118654056	-0.00997427011910834	0.00609819620812487	0.102717810955213	0.359512338343246	0.0214860644428631	0.00906397707612744	0.0182438877813818	0.127707214469673	0.0656799085461797	0.0681735932323403	0.335925441366085	0.470295617912518	0.0609345407664613	0.058605621821543	0.299097259739207	0.470295617912518	-0.132994169305093	0.105190169287924	0.20686025569398	0.470295617912518	1.57951090128629e-05	0.0938066812635095	0.999865737711379	0.999865737711379	0.0307858129267717	0.0501938650869748	0.540005771040923	0.630006732881076
Palmitic	saturated	2.56909889891266	0.0134144563912779	0.032194695339067	-0.00703390187989272	0.00291694510021794	0.0163471858370249	0.0906268977386553	0.00969538687651857	0.00433556458637257	0.0258933993539015	0.0906268977386553	0.0272552040694854	0.0326094179256447	0.403768358329865	0.471063084718176	0.0433435633679116	0.0280327781500065	0.122863235968277	0.277311068133211	-0.0710923684152878	0.0503155258413461	0.158463467504692	0.277311068133211	0.0222828701317395	0.0448704715198788	0.619744355265861	0.619744355265861	0.026415287003015	0.0240091895750058	0.271908203916687	0.380671485483362
Stearic	saturated	2.26728957800668	0.0284267655436021	0.0568535310872043	-0.00531665745834531	0.00250671410053363	0.0345470364798415	0.0863919312656837	0.00779654900780946	0.00372582291028459	0.0370251133995787	0.0863919312656837	-0.00172206152481691	0.0280233206028802	0.951031104837198	0.951031104837198	0.0197479613821891	0.0240903266436184	0.41285498049113	0.489444472457357	-0.105614122491392	0.0432392910284267	0.0150213553915535	0.0863919312656837	0.0311600509216106	0.0385600139159524	0.419523833534878	0.489444472457357	0.0235047612869806	0.0206326043111183	0.255308138577571	0.446789242510749
Eicosenoic	cis-monounsaturated	1.28292403512864	0.257291500852006	0.294047429545149	-0.00192524973717733	0.00357068876955782	0.590065314173457	0.612309679774872	0.00780228663603582	0.005307248249923	0.142325586351102	0.432251550061897	0.0491553521089886	0.0399178175688728	0.218900770820906	0.432251550061897	0.0540481600967463	0.0343154645290566	0.116048232816954	0.432251550061897	0.0546507440621345	0.0615922058466811	0.375457513919261	0.525640519486966	0.0278579264378195	0.0549268098082561	0.612309679774872	0.612309679774872	0.0340743658481745	0.0293901121331535	0.247000885749655	0.432251550061897
Nervonic	cis-monounsaturated	1.73921248729473	0.0984029943605602	0.124298519192287	0.00278293173445378	0.00342433825658925	0.416884302437802	0.524035391233758	-0.0116881418744491	0.00508972200948172	0.0221745781064564	0.155222046745194	-0.0443754748775022	0.0382817205985637	0.247082339264367	0.524035391233758	-0.0118940860707124	0.0329089891511412	0.717976033184588	0.717976033184588	-0.05043643604505	0.0590677486614518	0.39369213241568	0.524035391233758	0.0634034836999865	0.0526755447695053	0.22944158776348	0.524035391233758	-0.0213518818701625	0.0281855103701655	0.449173192486078	0.524035391233758
Oleic	cis-monounsaturated	1.74673547577302	0.0967573561862848	0.124298519192287	-0.00610700361120546	0.00326880233892891	0.0624646240176152	0.201299201108089	0.00835521592808595	0.00485854315854389	0.0862710861891809	0.201299201108089	0.0102937623418047	0.0365429371908623	0.778329108903834	0.778329108903834	0.0580996963746069	0.0314142390875201	0.0651368018953988	0.201299201108089	-0.038094450097592	0.0563848488414615	0.499680438821101	0.582960511957951	0.0513299961509165	0.050282983468583	0.307963388936175	0.431148744510645	0.0314406422478201	0.0269053041254369	0.243283025204479	0.425745294107838
Palmitoleic	cis-monounsaturated	4.84261439188996	2.97762234131582e-05	0.000357314680957899	-0.0152128636373126	0.00584146712291812	0.00955381760237015	0.0334383616082955	0.00740649762765459	0.00868239103598186	0.394149568743363	0.459841163533923	-0.0190917945351986	0.0653035405760356	0.770168967650473	0.770168967650473	0.230755146712423	0.0561383729556946	4.80447405962456e-05	0.00033631318417372	-0.129188907361975	0.1007617489793	0.200551641574161	0.350965372754782	0.0786417782599502	0.0898574965136034	0.382006038639615	0.459841163533923	0.110091761105868	0.048080744317	0.0225638068262651	0.0526488825946185
