Fatty_Acid	Class	Fstat.pval	Fstat.pval.adj
Arachidic	saturated	0.376982640834631	0.472143980142797
Behenic	saturated	0.43279864846423	0.472143980142797
Lignoceric	saturated	0.426266754728143	0.472143980142797
Myristic	saturated	0.0167717553585472	0.0333103687916098
Palmitic	saturated	0.0160665318188358	0.0333103687916098
Stearic	saturated	0.00524751253414801	0.013993366757728
Eicosenoic	cis-monounsaturated	0.57152739278174	0.57152739278174
Nervonic	cis-monounsaturated	0.42183987697632	0.472143980142797
Oleic	cis-monounsaturated	0.223627386504358	0.315709251535564
Palmitoleic	cis-monounsaturated	2.5524091028184e-05	0.000102096364112736
alphaLinolenic	Omega-3	0.416758338904306	0.472143980142797
Docosahexaenoic	Omega-3	1.60905715478332e-05	7.72347434295995e-05
Docosapentaenoicn3	Omega-3	0.000218786967237095	0.000750126744812896
Eicosapentaenoic	Omega-3	1.27564634677668e-06	1.53077561613202e-05
Arachidonic	Omega-6	0.523840505175964	0.546616179314049
Dihomoglinolenic	Omega-6	1.24001697119347e-05	7.44010182716082e-05
Docosapentaenoicn6	Omega-6	3.64975598632356e-07	8.75941436717653e-06
Docosatetraenoic	Omega-6	8.35316011671416e-06	6.68252809337133e-05
Eicosadienoic	Omega-6	0.143061963403962	0.214592945105944
gammaLinolenic	Omega-6	0.0180431164287886	0.0333103687916098
Linoleic	Omega-6	0.00115731410204245	0.00347194230612735
Elaidic	trans	0.0155813801046385	0.0333103687916098
Palmitelaidic	trans	0.0198532180551112	0.0340340880944763
Linoelaidic	trans	0.1046081955886	0.16737311294176
