Fatty_Acid	Class	age_l	age_m	age_u	bmi_l	bmi_m	bmi_u	education_l	education_m	education_u	smoke_l	smoke_m	smoke_u	diabetes_l	diabetes_m	diabetes_u	aspirin_l	aspirin_m	aspirin_u
Arachidic	saturated	-0.0111306484695056	-0.00336516548104133	0.00440031750742293	-0.0138629423839867	-0.00272292919727327	0.00841708398944021	-0.0822744266576236	0.0198257149590284	0.12192585657568	-0.108167317119402	-0.0279482344825891	0.052270848154224	-0.267885505924928	-0.132219109304363	0.00344728731620197	-0.0894749801947711	0.0339458079554614	0.157366596105694
Behenic	saturated	-0.0095039921340632	-0.00232067215853714	0.00486264781698893	-0.011078009032006	-0.000773140761659265	0.00953172750868746	-0.0870310504787467	0.00741484398376639	0.101860738446279	-0.131281940751787	-0.0570767252385459	0.0171284902746949	-0.162965193403993	-0.037469440171408	0.0880263130611767	-0.181175714454493	-0.0670075404681805	0.0471606335181318
Lignoceric	saturated	-0.00890380803080577	-0.00222696146504396	0.00444988510071784	-0.0149968406460333	-0.00541853638617695	0.00415976787367937	-0.07545079473577	0.0123360152964743	0.100122825328719	-0.108217893437649	-0.0392446554294236	0.0297285825788014	-0.167181838816736	-0.050534398379237	0.066113042058262	-0.147808882324322	-0.0416903489724811	0.0644281843793594
Myristic	saturated	-0.0212157795619442	-0.00870721800111758	0.00380134355970903	-0.0139932694699735	0.00395095124899854	0.0218951719679706	-0.0647361307445301	0.0997257460863374	0.264187622917205	-0.0102491733835536	0.118966914657102	0.248183002697758	-0.520038771519078	-0.301508710171348	-0.0829786488236173	-0.112470105189672	0.0863348537235448	0.285139812636762
Palmitic	saturated	-0.0104712862325975	-0.00433185730249072	0.00180757162761609	-0.00437827363556515	0.00442907541688648	0.0132364244693381	-0.0420897320143502	0.0386311406139782	0.119352013242307	0.0111418353371197	0.0745634354383231	0.137985035539527	-0.226919559398112	-0.119661040965589	-0.012402522533066	-0.109666045848825	-0.0120889655214654	0.0854881148058941
Stearic	saturated	-0.00986169647255117	-0.00471851295465256	0.000424670563246055	-0.00762065033472924	-0.000242470214292342	0.00713570990614455	-0.0686483491321715	-0.0010260561829819	0.0665962367662077	-0.011763533723148	0.0413666404400688	0.0944968146032857	-0.233284061880858	-0.143430388121207	-0.0535767143615564	-0.0614451729536699	0.0202980701032399	0.10204131316015
Eicosenoic	cis-monounsaturated	-0.00714697620257477	0.00119633919631335	0.00953965459520147	-0.00955584982412646	0.00241309579105213	0.0143820414062307	-0.0527899943941597	0.056907455853856	0.166604906101872	-0.0269415696987286	0.0592466440212224	0.145434857741173	-0.207723621929373	-0.0619622394477571	0.0837991430338589	-0.0425255568280047	0.0900790170080896	0.222683590844184
Nervonic	cis-monounsaturated	-0.00503934909938498	0.00191494331863678	0.00886923573665855	-0.0141258319895281	-0.0041495163687086	0.00582679925211089	-0.118454987333645	-0.0270203345530775	0.0644143182274898	-0.0307595044210538	0.0410798079553393	0.112919120331732	-0.163718369322453	-0.0422238280556376	0.0792707132111782	-0.170771168987667	-0.0602430469720172	0.0502850750436328
Oleic	cis-monounsaturated	-0.00914113119371176	-0.00183479670553737	0.00547153778263703	-0.00588755353181067	0.0045937858344222	0.0150751252006551	-0.0408927798984022	0.0551705025850435	0.151233785068489	-0.0094668473533171	0.0660091341084581	0.141485115570233	-0.242617466610418	-0.114972595842218	0.0126722749259827	-0.104647793930768	0.0114755125473064	0.127598819025381
Palmitoleic	cis-monounsaturated	-0.0214488178505336	-0.00892165954348702	0.00360549876355952	-0.00638533006167525	0.0115855687143382	0.0295564674903517	-0.104643496932978	0.0600628888905029	0.224769274713984	0.177785828185818	0.307194024550451	0.436602220915085	-0.491806855565453	-0.272951900897851	-0.054096946230249	-0.17848510526417	0.0206154212369098	0.21971594773799
