Fatty_Acid	Class	age_pval	age_pval.adj	bmi_pval	bmi_pval.adj	education_pval	education_pval.adj	smoke_pval	smoke_pval.adj	diabetes_pval	diabetes_pval.adj	aspirin_pval	aspirin_pval.adj
Arachidic	saturated	0.394689760801619	0.702804384846483	0.631055064812292	0.702804384846483	0.702804384846483	0.702804384846483	0.493716003382452	0.702804384846483	0.0560805096774443	0.336483058064666	0.588943264043519	0.702804384846483
Behenic	saturated	0.525643807517642	0.836232238111734	0.882792236750755	0.882792236750755	0.877394597277287	0.882792236750755	0.131260125369998	0.747591958448841	0.557488158741156	0.836232238111734	0.249197319482947	0.747591958448841
Lignoceric	saturated	0.512320672581574	0.614784807097889	0.266684680956193	0.614784807097889	0.782454458587731	0.782454458587731	0.263931006630968	0.614784807097889	0.394826850445074	0.614784807097889	0.440293810001433	0.614784807097889
Myristic	saturated	0.171889202413664	0.343778404827329	0.665295868941338	0.665295868941338	0.233878150525062	0.350817225787593	0.0710409086888848	0.213122726066654	0.00697801630917936	0.0418680978550761	0.39368791065798	0.472425492789576
Palmitic	saturated	0.166139806947183	0.332279613894366	0.323373316885804	0.416738539589012	0.347282116324177	0.416738539589012	0.0213344721612764	0.0866191804671664	0.0288730601557221	0.0866191804671664	0.80766041217601	0.80766041217601
Stearic	saturated	0.0720394994998025	0.216118498499407	0.948509893760828	0.97621329500717	0.97621329500717	0.97621329500717	0.126619679545692	0.253239359091383	0.00183204070637334	0.0109922442382401	0.625636811937162	0.938455217905744
Eicosenoic	cis-monounsaturated	0.778132223585906	0.778132223585906	0.692000774105318	0.778132223585906	0.30834654660343	0.60562380721312	0.177290507683978	0.547323048948714	0.403749204808746	0.60562380721312	0.182441016316238	0.547323048948714
Nervonic	cis-monounsaturated	0.588509894467282	0.588509894467282	0.413942703643589	0.588509894467282	0.561526812083603	0.588509894467282	0.261554285958209	0.588509894467282	0.494784928225903	0.588509894467282	0.284517975646078	0.588509894467282
Oleic	cis-monounsaturated	0.621733738423417	0.7460804861081	0.38933558344222	0.584003375163331	0.259490638328635	0.518981276657271	0.0863134270493913	0.258940281148174	0.0773544126538901	0.258940281148174	0.846029793443589	0.846029793443589
Palmitoleic	cis-monounsaturated	0.162220009166624	0.308550176190629	0.205700117460419	0.308550176190629	0.473777978419656	0.568533574103588	4.26161977710041e-06	2.55697186626025e-05	0.0146496500364742	0.0439489501094227	0.838773241941964	0.838773241941964
