Fatty_Acid	Class	Fstat	Fstat.pval	Fstat.pval.adj	Age.est	Age.se	Age.pval	Age.pval.adj	BMI.est	BMI.se	BMI.pval	BMI.pval.adj	Education.est	Education.se	Education.pval	Education.pval.adj	Smoking.est	Smoking.se	Smoking.pval	Smoking.pval.adj	Diabetes.est	Diabetes.se	Diabetes.pval	Diabetes.pval.adj	Aspirin.est	Aspirin.se	Aspirin.pval	Aspirin.pval.adj
Arachidic	saturated	1.07486317603585	0.376982640834631	0.472143980142797	-0.00336516548104133	0.00394909378057181	0.394689760801619	0.702804384846483	-0.00272292919727327	0.00566519260379429	0.631055064812292	0.702804384846483	0.0198257149590284	0.0519224670059526	0.702804384846483	0.702804384846483	-0.0279482344825891	0.0407949744780608	0.493716003382452	0.702804384846483	-0.132219109304363	0.0689924018792829	0.0560805096774443	0.336483058064666	0.0339458079554614	0.0627649648581285	0.588943264043519	0.702804384846483
Behenic	saturated	0.988357665437579	0.43279864846423	0.472143980142797	-0.00232067215853714	0.00365303797347155	0.525643807517642	0.836232238111734	-0.000773140761659265	0.00524048423729611	0.882792236750755	0.882792236750755	0.00741484398376639	0.048029941598805	0.877394597277287	0.882792236750755	-0.0570767252385459	0.0377366553380711	0.131260125369998	0.747591958448841	-0.037469440171408	0.0638201769696988	0.557488158741156	0.836232238111734	-0.0670075404681805	0.0580595986751045	0.249197319482947	0.747591958448841
Lignoceric	saturated	0.998088792373624	0.426266754728143	0.472143980142797	-0.00222696146504396	0.00339547369891242	0.512320672581574	0.614784807097889	-0.00541853638617695	0.00487099409492154	0.266684680956193	0.614784807097889	0.0123360152964743	0.0446435007364733	0.782454458587731	0.782454458587731	-0.0392446554294236	0.0350759618749803	0.263931006630968	0.614784807097889	-0.050534398379237	0.0593204160302267	0.394826850445074	0.614784807097889	-0.0416903489724811	0.0539659980822434	0.440293810001433	0.614784807097889
Myristic	saturated	2.62201418184474	0.0167717553585472	0.0333103687916098	-0.00870721800111758	0.00636116037304321	0.171889202413664	0.343778404827329	0.00395095124899854	0.00912543502365135	0.665295868941338	0.665295868941338	0.0997257460863374	0.0836361853987384	0.233878150525062	0.350817225787593	0.118966914657102	0.0657121328305286	0.0710409086888848	0.213122726066654	-0.301508710171348	0.111132264074017	0.00697801630917936	0.0418680978550761	0.0863348537235448	0.101101171421957	0.39368791065798	0.472425492789576
Palmitic	saturated	2.64117799232699	0.0160665318188358	0.0333103687916098	-0.00433185730249072	0.00312217290800379	0.166139806947183	0.332279613894366	0.00442907541688648	0.00447892905283928	0.323373316885804	0.416738539589012	0.0386311406139782	0.0410501570259577	0.347282116324177	0.416738539589012	0.0745634354383231	0.0322527068677678	0.0213344721612764	0.0866191804671664	-0.119661040965589	0.0545457312422743	0.0288730601557221	0.0866191804671664	-0.0120889655214654	0.0496222889960046	0.80766041217601	0.80766041217601
Stearic	saturated	3.13181439298524	0.00524751253414801	0.013993366757728	-0.00471851295465256	0.00261553776797207	0.0720394994998025	0.216118498499407	-0.000242470214292342	0.00375213303136966	0.948509893760828	0.97621329500717	-0.0010260561829819	0.0343889461750611	0.97621329500717	0.97621329500717	0.0413666404400688	0.027019058654863	0.126619679545692	0.253239359091383	-0.143430388121207	0.0456945929484213	0.00183204070637334	0.0109922442382401	0.0202980701032399	0.0415700778997718	0.625636811937162	0.938455217905744
Eicosenoic	cis-monounsaturated	0.798530604843513	0.57152739278174	0.57152739278174	0.00119633919631335	0.00424294728351651	0.778132223585906	0.778132223585906	0.00241309579105213	0.00608674164364523	0.692000774105318	0.778132223585906	0.056907455853856	0.0557860366396472	0.30834654660343	0.60562380721312	0.0592466440212224	0.0438305433500621	0.177290507683978	0.547323048948714	-0.0619622394477571	0.0741261515685243	0.403749204808746	0.60562380721312	0.0900790170080896	0.0674353286961561	0.182441016316238	0.547323048948714
Nervonic	cis-monounsaturated	1.00473782984352	0.42183987697632	0.472143980142797	0.00191494331863678	0.00353656726530525	0.588509894467282	0.588509894467282	-0.0041495163687086	0.00507340058947075	0.413942703643589	0.588509894467282	-0.0270203345530775	0.0464985911579327	0.561526812083603	0.588509894467282	0.0410798079553393	0.036533488274665	0.261554285958209	0.588509894467282	-0.0422238280556376	0.0617853825709164	0.494784928225903	0.588509894467282	-0.0602430469720172	0.0562084702108925	0.284517975646078	0.588509894467282
Oleic	cis-monounsaturated	1.37489273786544	0.223627386504358	0.315709251535564	-0.00183479670553737	0.00371559632915158	0.621733738423417	0.7460804861081	0.0045937858344222	0.00533022764517556	0.38933558344222	0.584003375163331	0.0551705025850435	0.0488524554055733	0.259490638328635	0.518981276657271	0.0660091341084581	0.0383828963911227	0.0863134270493913	0.258940281148174	-0.114972595842218	0.0649130989046545	0.0773544126538901	0.258940281148174	0.0114755125473064	0.0590538705800049	0.846029793443589	0.846029793443589
Palmitoleic	cis-monounsaturated	5.35652853960001	2.5524091028184e-05	0.000102096364112736	-0.00892165954348702	0.00637061764633131	0.162220009166624	0.308550176190629	0.0115855687143382	0.00913900200323218	0.205700117460419	0.308550176190629	0.0600628888905029	0.0837605291058146	0.473777978419656	0.568533574103588	0.307194024550451	0.0658098284649848	4.26161977710041e-06	2.55697186626025e-05	-0.272951900897851	0.111297486789817	0.0146496500364742	0.0439489501094227	0.0206154212369098	0.101251480697595	0.838773241941964	0.838773241941964
alphaLinolenic	Omega-3	1.01242559336865	0.416758338904306	0.472143980142797	-0.00492128961115605	0.00525475371835436	0.349605851661203	0.876251250888099	0.00108766565351936	0.00753823371995771	0.885352764010564	0.885352764010564	0.0151269693322259	0.0690892117852302	0.826811001632773	0.885352764010564	-0.0297354435131697	0.0542827179449058	0.584167500592066	0.876251250888099	-0.178750508247006	0.0918028541375552	0.0522774794346036	0.313664876607622	0.0515743431135018	0.0835164852486426	0.537261844547303	0.876251250888099
Docosahexaenoic	Omega-3	5.5455159115877	1.60905715478332e-05	7.72347434295995e-05	0.00954920343304315	0.00362641284733727	0.00881218380515187	0.0227153061962782	0.00539935137004291	0.00520228902694354	0.300003743880525	0.300003743880525	0.0570616170687403	0.0476798759103077	0.232164328964765	0.278597194757718	-0.0953109534063825	0.0374616121505766	0.0113576530981391	0.0227153061962782	-0.279600511735622	0.0633550243285082	1.33782428404027e-05	8.02694570424161e-05	0.109385886422136	0.0576364319439465	0.0584926136116051	0.0877389204174076
Docosapentaenoicn3	Omega-3	4.47165580698834	0.000218786967237095	0.000750126744812896	0.00207504972485215	0.0034833733454061	0.55173905212234	0.681684644413016	-0.0129153894890351	0.00499709098065315	0.0101319468940825	0.0303958406822475	0.0545173489668733	0.0457992004358211	0.234669702089157	0.469339404178314	-0.0147710407737664	0.0359839838249734	0.681684644413016	0.681684644413016	-0.216242464643355	0.0608560614397569	0.000429593454804577	0.00257756072882746	0.0262786322959852	0.055363032067701	0.63530916218392	0.681684644413016
Eicosapentaenoic	Omega-3	6.58078822567313	1.27564634677668e-06	1.53077561613202e-05	0.0119256482234721	0.00607777329894196	0.0504914011365841	0.0690944825048191	-0.00395621564016859	0.00871890065262489	0.650273604443177	0.650273604443177	0.166269710470594	0.0799102277936484	0.0381482730037164	0.0690944825048191	-0.156183334201995	0.0627846843834323	0.0133003749362427	0.0399011248087282	-0.51430954507239	0.106181367491117	1.87704377008565e-06	1.12622626205139e-05	0.184000112488491	0.0965971558843378	0.0575787354206826	0.0690944825048191
Arachidonic	Omega-6	0.860845557490604	0.523840505175964	0.546616179314049	-0.00289466602837289	0.00247526977745092	0.242981387888787	0.526014555461349	-0.00330135260018752	0.00355091087089354	0.353122275290341	0.526014555461349	-0.0228775244746301	0.0325447103795843	0.482524743720321	0.526014555461349	0.0296268862991273	0.0255700606286449	0.247343987948673	0.526014555461349	-0.0274471174749633	0.0432440495806128	0.526014555461349	0.526014555461349	0.0364955678220653	0.0393407270701987	0.354178832430419	0.526014555461349
Dihomoglinolenic	Omega-6	5.65212119162536	1.24001697119347e-05	7.44010182716082e-05	-0.00681660214138163	0.00335407099046443	0.0428333469590538	0.0856666939181076	0.00734421967220835	0.00481159962856814	0.127775270881113	0.191662906321669	0.0121591692184202	0.0440991402115539	0.782914370999	0.782914370999	0.0812223489220807	0.0346482631348876	0.0195964272841368	0.0587892818524103	-0.22489994770109	0.0585970925391039	0.000145800216014013	0.000874801296084078	-0.0382071317223257	0.0533079636862121	0.473996174410444	0.568795409292533
Docosapentaenoicn6	Omega-6	7.09128994121698	3.64975598632356e-07	8.75941436717653e-06	-0.0157553745977122	0.00495380718451032	0.00159451901360629	0.00478355704081887	-0.00624829497261953	0.00710650933649069	0.379844277146867	0.569766415720301	-0.093333140068034	0.0651323833728619	0.152709088789374	0.305418177578748	0.262342600199033	0.0511738765626556	4.76800207120926e-07	2.86080124272556e-06	-0.015687539436563	0.0865451860848763	0.85625949871633	0.85625949871633	-0.0224061755843231	0.0787333882470409	0.776122925246447	0.85625949871633
Docosatetraenoic	Omega-6	5.81366040153884	8.35316011671416e-06	6.68252809337133e-05	-0.0108113513064454	0.00407718546793687	0.0083539188096322	0.0250617564288966	-0.00678558289724515	0.00584894718653884	0.246740870672687	0.493481741345374	-0.0520748013353962	0.0536066094397608	0.331971287206759	0.497956930810138	0.202397592159955	0.0421181887158732	2.24807526146496e-06	1.34884515687897e-05	0.0129761921898285	0.0712302198859259	0.855547065169192	0.855547065169192	-0.0233399998354012	0.0648007914813499	0.718917457610858	0.855547065169192
Eicosadienoic	Omega-6	1.61027155003938	0.143061963403962	0.214592945105944	-0.00264562593336063	0.00320016097727571	0.408930568028423	0.817861136056845	-0.00118478257649345	0.00459080723496731	0.796490831661931	0.961203037533867	0.010612757686872	0.0420755398551907	0.801002531278223	0.961203037533867	0.0871199482987691	0.0330583401275281	0.00875879260678333	0.0525527556407	-0.057483049170425	0.0559082170468576	0.304542393177014	0.817861136056845	0.00173773083104701	0.050861793221325	0.972763409285771	0.972763409285771
gammaLinolenic	Omega-6	2.58935149305318	0.0180431164287886	0.0333103687916098	-0.00886882987132727	0.00439203175298609	0.0441766674723779	0.132530002417134	-0.0008631840649541	0.00630061152891733	0.89110527537383	0.89110527537383	0.0593334555363766	0.0577461910135992	0.30486247737396	0.45729371606094	0.0536470031830207	0.0453706174696	0.237799448813002	0.45729371606094	-0.190851233325221	0.0767307226937295	0.0133120220331023	0.079872132198614	0.0533459193630657	0.0698048043295749	0.445225858630215	0.534271030356258
Linoleic	Omega-6	3.77615546377246	0.00115731410204245	0.00347194230612735	-0.00537216383774542	0.00265145044942533	0.0434692740276531	0.130407822082959	-0.00349201164608871	0.00380365175152575	0.359181231603104	0.431017477923725	-0.00566899333323672	0.0348611241281464	0.87090918371484	0.87090918371484	-0.0424790760622527	0.0273900442542763	0.121781806910804	0.199661966637656	-0.10573789659528	0.0463220032579905	0.0230165019877629	0.130407822082959	-0.0634333454232494	0.0421408564921832	0.133107977758437	0.199661966637656
