Fatty_Acid	Class	Fstat.pval	Fstat.pval.adj
Arachidic	saturated	0.888398725840102	0.888398725840102
Behenic	saturated	0.242481752649303	0.290978103179164
Lignoceric	saturated	0.755706067755565	0.788562853310155
Myristic	saturated	0.07402162571329	0.104501118654056
Palmitic	saturated	0.0134144563912779	0.032194695339067
Stearic	saturated	0.0284267655436021	0.0568535310872043
Eicosenoic	cis-monounsaturated	0.257291500852006	0.294047429545149
Nervonic	cis-monounsaturated	0.0984029943605602	0.124298519192287
Oleic	cis-monounsaturated	0.0967573561862848	0.124298519192287
Palmitoleic	cis-monounsaturated	2.97762234131582e-05	0.000357314680957899
alphaLinolenic	Omega-3	0.00189055635718849	0.00567166907156547
Docosahexaenoic	Omega-3	0.000437581207920479	0.00150027842715593
Docosapentaenoicn3	Omega-3	0.0687305561253471	0.104501118654056
Eicosapentaenoic	Omega-3	0.000126706617619043	0.000608191764571409
Arachidonic	Omega-6	0.449253349211581	0.49009456277627
Dihomoglinolenic	Omega-6	0.000331948708501728	0.00132779483400691
Docosapentaenoicn6	Omega-6	7.1281274470425e-05	0.00042768764682255
Docosatetraenoic	Omega-6	6.08173012728308e-06	0.000145961523054794
Eicosadienoic	Omega-6	0.0662780334124513	0.104501118654056
gammaLinolenic	Omega-6	0.0197426890202694	0.043074957862406
Linoleic	Omega-6	5.09711735972029e-05	0.000407769388777623
Elaidic	trans	0.066871730072835	0.104501118654056
Palmitelaidic	trans	0.0111009831116742	0.0296026216311311
Linoelaidic	trans	0.0720761397286012	0.104501118654056
