Fatty_Acid	Class	age_l	age_m	age_u	bmi_l	bmi_m	bmi_u	education_l	education_m	education_u	smoke_l	smoke_m	smoke_u	diabetes_l	diabetes_m	diabetes_u	aspirin_l	aspirin_m	aspirin_u	gleason_l	gleason_m	gleason_u
Arachidic	saturated	-0.0102742803000954	-0.00372773827561025	0.00281880374887487	-0.00652447792991938	0.00320589229968721	0.0129362625292938	-0.0657707483295713	0.00741503937287171	0.0806008270753148	-0.0594617761457934	0.00345259279737748	0.0663669617405483	-0.128192270297722	-0.0152684088305214	0.0976554526366789	-0.0423789239808679	0.0583245234173714	0.159027970815611	-0.0512114910606841	0.0026726799217804	0.0565568509042449
Behenic	saturated	-0.00612488095715791	-4.06301696895821e-05	0.00604362061777875	-0.00691668862523344	0.00212656085066044	0.0111698103265543	-0.036786839985235	0.0312308531410991	0.0992485462674333	-0.110467632754914	-0.0519960308994805	0.00647557095595341	-0.118977642045619	-0.0140280227678267	0.0909215965099652	-0.0674241756949675	0.0261679874412192	0.119760150577406	-0.0993200694867043	-0.0492409882700947	0.000838092946514775
Lignoceric	saturated	-0.00713657253990048	-0.00097693380482844	0.0051827049302436	-0.0139134715456126	-0.00475817014394007	0.00439713125773245	-0.0527332238703259	0.0161272540892855	0.084987732048897	-0.081234572352414	-0.0220384681365478	0.0371576360793184	-0.0839281623093572	0.0223218531347861	0.128571868578929	-0.0812680966747036	0.0134837361294662	0.108235568933636	-0.0904969875565616	-0.0397973929386018	0.010902201679358
Myristic	saturated	-0.0219632498691795	-0.00997427011910834	0.00201470963096278	0.00366639549288434	0.0214860644428631	0.0393057333928418	-0.0683485485348091	0.0656799085461797	0.199708365627169	-0.0542834006180214	0.0609345407664613	0.176152482150944	-0.339796765754717	-0.132994169305093	0.0738084271445315	-0.18440700201109	1.57951090128629e-05	0.184438592229115	-0.0678947167852399	0.0307858129267717	0.129466342638783
Palmitic	saturated	-0.0127685805529056	-0.00703390187989272	-0.00129922320687979	0.00117171950715901	0.00969538687651857	0.0182190542458781	-0.0368545158918497	0.0272552040694854	0.0913649240308204	-0.0117685383271578	0.0433435633679116	0.0984556650629809	-0.17001208169417	-0.0710923684152878	0.0278273448635943	-0.0659319324210605	0.0222828701317395	0.11049767268454	-0.0207864883755559	0.026415287003015	0.0736170623815859
Stearic	saturated	-0.0102448269636942	-0.00531665745834531	-0.000388487952996377	0.000471626375074398	0.00779654900780946	0.0151214716405445	-0.0568155697969932	-0.00172206152481691	0.0533714467473594	-0.0276133284887625	0.0197479613821891	0.0671092512531408	-0.190622043990632	-0.105614122491392	-0.0206062009921525	-0.0446484685525381	0.0311600509216106	0.106968570395759	-0.0170586884340459	0.0235047612869806	0.0640682110080071
Eicosenoic	cis-monounsaturated	-0.00894518053163079	-0.00192524973717733	0.00509468105727613	-0.00263169902551972	0.00780228663603582	0.0182362722975914	-0.0293225928713036	0.0491553521089886	0.127633297089281	-0.0134156267858419	0.0540481600967463	0.121511946979334	-0.0664387852767599	0.0546507440621345	0.175740273401029	-0.0801275151669984	0.0278579264378195	0.135843368042637	-0.0237062379879627	0.0340743658481745	0.0918549696843116
Nervonic	cis-monounsaturated	-0.00394927572731074	0.00278293173445378	0.00951513919621829	-0.0216944735867459	-0.0116881418744491	-0.00168181016215237	-0.119636873066457	-0.0443754748775022	0.0308859233114526	-0.0765927594263963	-0.0118940860707124	0.0528045872849716	-0.166562913189377	-0.05043643604505	0.0656900410992772	-0.0401559981553459	0.0634034836999865	0.166962965555319	-0.0767642532568219	-0.0213518818701625	0.0340604895164969
Oleic	cis-monounsaturated	-0.0125334293461121	-0.00610700361120546	0.000319422123701184	-0.00119662096837565	0.00835521592808595	0.0179070528245475	-0.0615492087658902	0.0102937623418047	0.0821367334494995	-0.0036603164931947	0.0580996963746069	0.119859709242409	-0.148946378749944	-0.038094450097592	0.0727574785547602	-0.0475257392179804	0.0513299961509165	0.150185731519813	-0.0214548591956393	0.0314406422478201	0.0843361436912795
Palmitoleic	cis-monounsaturated	-0.0266971171210007	-0.0152128636373126	-0.0037286101536245	-0.00966297779753726	0.00740649762765459	0.0244759730528464	-0.147477762918918	-0.0190917945351986	0.109294173848521	0.120387786660767	0.230755146712423	0.341122506764079	-0.327285283218999	-0.129188907361975	0.0689074684950492	-0.0980169695609788	0.0786417782599502	0.255300526080879	0.015565601187162	0.110091761105868	0.204617921024575
