Fatty_Acid	Class	age_pval	age_pval.adj	bmi_pval	bmi_pval.adj	education_pval	education_pval.adj	smoke_pval	smoke_pval.adj	diabetes_pval	diabetes_pval.adj	aspirin_pval	aspirin_pval.adj	gleason_pval	gleason_pval.adj
Arachidic	saturated	0.263617936034155	0.922367747097666	0.517529737194453	0.922367747097666	0.842216609769666	0.922367747097666	0.914138683949148	0.922367747097666	0.790515941954476	0.922367747097666	0.255542061730493	0.922367747097666	0.922367747097666	0.922367747097666
Behenic	saturated	0.989531726841627	0.989531726841627	0.644112926596742	0.901758097235439	0.367235999308571	0.856883998386666	0.0811958977269186	0.284185642044215	0.79285523619477	0.924997775560566	0.582848016477223	0.901758097235439	0.0539399586818594	0.284185642044215
Lignoceric	saturated	0.755349063410966	0.779799268942038	0.307520694364247	0.779799268942038	0.645455182401442	0.779799268942038	0.46464577234252	0.779799268942038	0.679808413357632	0.779799268942038	0.779799268942038	0.779799268942038	0.123575449296544	0.779799268942038
Myristic	saturated	0.102717810955213	0.359512338343246	0.0182438877813818	0.127707214469673	0.335925441366085	0.470295617912518	0.299097259739207	0.470295617912518	0.20686025569398	0.470295617912518	0.999865737711379	0.999865737711379	0.540005771040923	0.630006732881076
Palmitic	saturated	0.0163471858370249	0.0906268977386553	0.0258933993539015	0.0906268977386553	0.403768358329865	0.471063084718176	0.122863235968277	0.277311068133211	0.158463467504692	0.277311068133211	0.619744355265861	0.619744355265861	0.271908203916687	0.380671485483362
Stearic	saturated	0.0345470364798415	0.0863919312656837	0.0370251133995787	0.0863919312656837	0.951031104837198	0.951031104837198	0.41285498049113	0.489444472457357	0.0150213553915535	0.0863919312656837	0.419523833534878	0.489444472457357	0.255308138577571	0.446789242510749
Eicosenoic	cis-monounsaturated	0.590065314173457	0.612309679774872	0.142325586351102	0.432251550061897	0.218900770820906	0.432251550061897	0.116048232816954	0.432251550061897	0.375457513919261	0.525640519486966	0.612309679774872	0.612309679774872	0.247000885749655	0.432251550061897
Nervonic	cis-monounsaturated	0.416884302437802	0.524035391233758	0.0221745781064564	0.155222046745194	0.247082339264367	0.524035391233758	0.717976033184588	0.717976033184588	0.39369213241568	0.524035391233758	0.22944158776348	0.524035391233758	0.449173192486078	0.524035391233758
Oleic	cis-monounsaturated	0.0624646240176152	0.201299201108089	0.0862710861891809	0.201299201108089	0.778329108903834	0.778329108903834	0.0651368018953988	0.201299201108089	0.499680438821101	0.582960511957951	0.307963388936175	0.431148744510645	0.243283025204479	0.425745294107838
Palmitoleic	cis-monounsaturated	0.00955381760237015	0.0334383616082955	0.394149568743363	0.459841163533923	0.770168967650473	0.770168967650473	4.80447405962456e-05	0.00033631318417372	0.200551641574161	0.350965372754782	0.382006038639615	0.459841163533923	0.0225638068262651	0.0526488825946185
