Fatty_Acid	Class	Fstat.pval	Fstat.pval.adj
Arachidic	saturated	0.00148691982581939	0.00356860758196653
Behenic	saturated	0.00904329855043329	0.0137979152046122
Lignoceric	saturated	0.353118934801436	0.353118934801436
Myristic	saturated	7.64743305348148e-07	6.11794644278518e-06
Palmitic	saturated	9.32678254139674e-06	3.67465693733582e-05
Stearic	saturated	6.05273398068817e-09	1.45265615536516e-07
Eicosenoic	cis-monounsaturated	0.0149209225512528	0.020608842755979
Nervonic	cis-monounsaturated	0.023413328487723	0.0280959941852676
Oleic	cis-monounsaturated	0.00210073302607305	0.00458341751143212
Palmitoleic	cis-monounsaturated	3.12197543372861e-08	3.74637052047433e-07
alphaLinolenic	Omega-3	1.12047020081052e-05	3.67465693733582e-05
Docosahexaenoic	Omega-3	0.0287619930445446	0.0313767196849578
Docosapentaenoicn3	Omega-3	0.0260972582700598	0.0298254380229255
Eicosapentaenoic	Omega-3	0.126408008747164	0.131904009127476
Arachidonic	Omega-6	0.00315976061235868	0.00631952122471735
Dihomoglinolenic	Omega-6	5.03451107536357e-06	2.41656531617451e-05
Docosapentaenoicn6	Omega-6	0.00575367533353344	0.00986344342891446
Docosatetraenoic	Omega-6	0.00552579701680078	0.00986344342891446
Eicosadienoic	Omega-6	0.0157231866354994	0.020608842755979
gammaLinolenic	Omega-6	4.70789008977235e-06	2.41656531617451e-05
Linoleic	Omega-6	0.000851625114850485	0.00227100030626796
Elaidic	trans	0.0091986101364081	0.0137979152046122
Palmitelaidic	trans	0.0163153338484834	0.020608842755979
Linoelaidic	trans	1.22488564577861e-05	3.67465693733582e-05
