Fatty_Acid	Class	age_l	age_m	age_u	bmi_l	bmi_m	bmi_u	education_l	education_m	education_u	smoke_l	smoke_m	smoke_u	diabetes_l	diabetes_m	diabetes_u	aspirin_l	aspirin_m	aspirin_u
Arachidic	saturated	-0.00745757453297543	-0.00330990691639155	0.00083776070019234	0.00800598914864378	0.0169881348098257	0.0259702804710077	-0.0580943491913905	-0.0220039841824336	0.0140863808265233	-0.11140861100999	-0.0330136192319496	0.045381372546091	-0.0465563029552878	0.0561266333116474	0.158809569578583	-0.195845978776283	-0.0888124053120945	0.0182211681520943
Behenic	saturated	-0.00500768913677336	-0.000600330769179557	0.00380702759841424	0.00555447725156147	0.0150990064902283	0.0246435357288952	-0.0332250136408609	0.00512501507786958	0.0434750437966001	-0.0750760630836687	0.00822733895580529	0.0915307409952792	-0.12019004982977	-0.0110780041692938	0.098034041491182	-0.256336223002063	-0.142601141209422	-0.0288660594167803
Lignoceric	saturated	-0.0068853393158883	-0.00239490673667952	0.00209552584252925	-0.00286515603137594	0.00685927785211589	0.0165837117356077	-0.051273385397264	-0.0122004977377572	0.0268723899217495	-0.0851594563533296	-0.000285870119132945	0.0845877161150637	-0.143184824502153	-0.0320161280284393	0.0791525684452741	-0.209458942240219	-0.0935800701167618	0.0222988020066955
Myristic	saturated	-0.016249316214777	-0.00828639114438175	-0.000323466073986483	0.0322655335139079	0.0495099608603491	0.0667543882067903	-0.113911004663804	-0.0446226964154596	0.0246656118328845	-0.0937907356091846	0.0567163693783987	0.207223474365982	-0.270904479093416	-0.0737680151606526	0.12336844877211	-0.287598648679502	-0.0821095872840864	0.123379474111329
Palmitic	saturated	-0.00530670451196181	-0.00162281527061888	0.00206107397072406	0.0143118326169087	0.0222896246736059	0.0302674167303031	-0.0526561240776491	-0.0206012634516332	0.0114535971743826	-0.0851605582499631	-0.0155314332854722	0.0540976916790187	-0.0942422250183192	-0.00304095260420544	0.0881603198099084	-0.166118747526023	-0.0710533116722293	0.0240121241815646
Stearic	saturated	-0.00365852066030795	-0.000472910759035354	0.00271269914223724	0.0146716352513304	0.0215703587745285	0.0284690822977265	-0.0143233068176941	0.013395843977655	0.0411149947730042	-0.072872893664922	-0.0126617376359831	0.0475494183929559	-0.123625990141013	-0.0447605147215754	0.0341049606978617	-0.173283460748842	-0.0910764849456705	-0.00886950914249947
Eicosenoic	cis-monounsaturated	-0.00967797898820334	-0.00552010206174823	-0.00136222513529311	-0.000894009017338195	0.00811024581864765	0.0171145006546335	-0.0602723220165277	-0.0240931220878513	0.012086077840825	-0.116821778661253	-0.0382338208990982	0.040354136863057	-0.0507560180477235	0.0521796679599686	0.155115353967661	-0.202314647091478	-0.0950176149755512	0.0122794171403752
Nervonic	cis-monounsaturated	-0.00441117782248568	0.0015674090612308	0.00754599594494728	-0.00726890728973919	0.00567825800934575	0.0186254233084307	-0.113079558999716	-0.0610576992903297	-0.00903583958094385	-0.115252402257982	-0.00225123800864463	0.110749926240693	-0.294518777345252	-0.146508157233746	0.0015024628777606	-0.267357128740146	-0.113075354599974	0.0412064195401991
Oleic	cis-monounsaturated	-0.00633888712935663	-0.00232052882022569	0.00169782948890524	0.00702073463734251	0.0157228494131553	0.0244249641889681	-0.068191469024619	-0.0332262713473869	0.00173892632984533	-0.0948817675281889	-0.018930848668158	0.0570200701918728	-0.089954215373074	0.00952743752129216	0.109009090415658	-0.224471549191626	-0.120774896266472	-0.0170782433413182
Palmitoleic	cis-monounsaturated	-0.00875451062099244	-0.00170492951846238	0.00534465158406768	0.00815385617874297	0.0234203553697733	0.0386868545608037	-0.177385103840217	-0.116044133765064	-0.0547031636899103	-0.106969551748126	0.0262744551635586	0.159518462075243	-0.592092190884261	-0.417567191782264	-0.243042192680267	-0.318700319356273	-0.13678076200976	0.0451387953367535
alphaLinolenic	Omega-3	-0.00939517467923561	-0.0023321284392764	0.0047309178006828	0.00866067045070866	0.0239563296026898	0.0392519887546709	0.0267922545370057	0.0882503896720521	0.149708524807098	-0.233815217968691	-0.100316706734184	0.0331818045003219	-0.0656606753577455	0.109197677324209	0.284056030006164	-0.191324577601851	-0.00905754261019918	0.173209492381453
Docosahexaenoic	Omega-3	-0.00949921196962553	-0.00094644606148696	0.00760631984665161	0.00952690659974513	0.0280486871025339	0.0465704676053226	-0.13821386078787	-0.0637931328040998	0.0106275951796709	-0.245785411250781	-0.0841297350902448	0.0775259410702917	-0.391839257419192	-0.180100227719716	0.03163880197976	-0.31193946385831	-0.091229131504164	0.129481200849982
Docosapentaenoicn3	Omega-3	-0.0112823604377937	-0.00294767185107542	0.00538701673564288	0.0121374570729965	0.0301869716066981	0.0482364861403997	-0.111490373809515	-0.0389672159441319	0.0335559419212512	-0.272893070606567	-0.115359270015655	0.0421745305752571	-0.284294803224619	-0.077954667980216	0.128385467264187	-0.295463527906432	-0.0803808391247313	0.134701849656969
Eicosapentaenoic	Omega-3	-0.010355214688054	0.000282109654861949	0.0109194339977779	0.00949165151033851	0.0325277299827985	0.0555638084552584	-0.107643066108166	-0.0150838367428457	0.0774753926224742	-0.318064717424666	-0.117008839400845	0.0840470386229764	-0.406665921227165	-0.143319916068253	0.12002608909066	-0.246557003318976	0.0279468725382778	0.302450748395532
Arachidonic	Omega-6	-0.00690249662779374	-0.000833472685680292	0.00523555125643316	0.0133570978133584	0.0265001126613422	0.039643127509326	-0.0415551342507703	0.0112536512081218	0.0640624366670139	-0.129112312834567	-0.014401799354565	0.100308714125437	-0.226343849800464	-0.0760942984239706	0.0741552529525231	-0.211446055382804	-0.0548304873062241	0.101785080770356
Dihomoglinolenic	Omega-6	-0.00719803270269597	-0.00106881484127044	0.0050604030201551	0.0233388239852935	0.0366121941561139	0.0498855643269343	-0.0761824287566608	-0.0228498741050285	0.0304826805466038	-0.0794814000904563	0.0363668375868013	0.152215075264059	-0.29737046951282	-0.145630709915285	0.00610904968225012	-0.271963176735415	-0.113794260878741	0.0443746549779328
Docosapentaenoicn6	Omega-6	-0.0156345685843704	-0.00552910124628736	0.00457636609179572	0.0175870089902817	0.0394713034892073	0.061355597988133	-0.150140422438132	-0.0622090743813908	0.02572227367535	-0.18888053552384	0.00212272272055337	0.193125980964947	-0.42896561528356	-0.178786682315296	0.0713922506529681	-0.440120261632749	-0.179341341837935	0.081437577956879
Docosatetraenoic	Omega-6	-0.0102255180194464	-0.00238798456049637	0.00544954889845371	0.0135366258857777	0.0305095064683973	0.0474823870510169	-0.0909737506944041	-0.0227765204794164	0.0454207097355713	-0.126457613505979	0.0216794668660884	0.169816547238156	-0.265565965331027	-0.0715337951933966	0.122498374944233	-0.417352745211452	-0.2150995053659	-0.0128462655203479
Eicosadienoic	Omega-6	-0.00598773737707876	-0.00114980823371614	0.00368812090964647	0.00593952608537941	0.0164164948980228	0.0268934637106661	-0.0303597170100306	0.0117368646864636	0.0538334463829577	-0.0742040122421649	0.0172376003644475	0.10867921297106	-0.138471985568078	-0.0187003896220644	0.10107120632395	-0.241127087634172	-0.11628081443952	0.00856545875513205
gammaLinolenic	Omega-6	-0.0135035638165644	-0.00445537692391634	0.00459280996873172	0.0287747573018153	0.048369416313161	0.0679640753245067	-0.0366866037119965	0.0420449625107289	0.120776528733454	-0.162494335332397	0.00852528403612455	0.179544903404646	-0.439393426825383	-0.21538936383966	0.00861469914606253	-0.302911212130623	-0.0694161816658627	0.164078848798898
