Fatty_Acid	Class	age_pval	age_pval.adj	bmi_pval	bmi_pval.adj	education_pval	education_pval.adj	smoke_pval	smoke_pval.adj	diabetes_pval	diabetes_pval.adj	aspirin_pval	aspirin_pval.adj
Arachidic	saturated	0.117528034769852	0.235056069539705	0.000226184479171405	0.00135710687502843	0.231503182307172	0.340009890927213	0.408375246947245	0.408375246947245	0.283341575772677	0.340009890927213	0.103667073329227	0.235056069539705
Behenic	saturated	0.789083538930757	0.84620537384352	0.00199341002427524	0.0119604601456514	0.792976176491749	0.84620537384352	0.84620537384352	0.84620537384352	0.841955629811066	0.84620537384352	0.0141053685645535	0.0423161056936606
Lignoceric	saturated	0.295175370798463	0.590350741596926	0.166389549665499	0.499168648996496	0.539797233479308	0.686070119824379	0.994722084034319	0.994722084034319	0.571725099853649	0.686070119824379	0.113212073914538	0.499168648996496
Myristic	saturated	0.0414261909986615	0.124278572995984	2.90146388019925e-08	1.74087832811955e-07	0.206322050682949	0.412644101365899	0.459379014693234	0.462525607583478	0.462525607583478	0.462525607583478	0.432746274319792	0.462525607583478
Palmitic	saturated	0.387143397236326	0.580715095854489	6.55907880502717e-08	3.9354472830163e-07	0.207257047019649	0.414514094039297	0.661362979158784	0.793635574990541	0.947788411241394	0.947788411241394	0.142589398267497	0.414514094039297
Stearic	saturated	0.770639206347202	0.770639206347202	1.70714698046893e-09	1.02428818828136e-08	0.342790686681666	0.514186030022499	0.679636869863944	0.770639206347202	0.265314617740842	0.514186030022499	0.029974173460457	0.089922520381371
Eicosenoic	cis-monounsaturated	0.00937417994670341	0.0562450796802205	0.0773893749828083	0.164980050365385	0.191318660808815	0.286977991213223	0.33956816473794	0.33956816473794	0.319719976657971	0.33956816473794	0.0824900251826925	0.164980050365385
Nervonic	cis-monounsaturated	0.606681284845708	0.728017541814849	0.389241667234662	0.583862500851993	0.021525239295256	0.129151435771536	0.968789783121313	0.968789783121313	0.0523617599038999	0.1570852797117	0.150481322589509	0.300962645179018
Oleic	cis-monounsaturated	0.257057358864612	0.385586038296918	0.000423203871280607	0.00253922322768364	0.0624827438470193	0.124965487694039	0.624520615178449	0.749424738214139	0.850809943924926	0.850809943924926	0.0225416147106809	0.0676248441320427
Palmitoleic	cis-monounsaturated	0.634843741693856	0.698577997932758	0.00271221967512735	0.0054244393502547	0.000225390152095472	0.000676170456286417	0.698577997932758	0.698577997932758	3.3926604493267e-06	2.03559626959602e-05	0.14022710925545	0.210340663883174
alphaLinolenic	Omega-3	0.516774137118375	0.62012896454205	0.00220771442783149	0.0132462865669889	0.00497913544586456	0.0149374063375937	0.140453838688308	0.280907677376616	0.22038829520525	0.330582442807875	0.922253559061211	0.922253559061211
Docosahexaenoic	Omega-3	0.827955799169158	0.827955799169158	0.00307263655381437	0.0184358193228862	0.0927677678368736	0.190618514166046	0.307006147585461	0.460509221378191	0.0953092570830228	0.190618514166046	0.417077803316404	0.500493363979684
Docosapentaenoicn3	Omega-3	0.487432530577655	0.487432530577655	0.00109029064935511	0.00654174389613065	0.291598033787346	0.487432530577655	0.150832676871587	0.452498030614761	0.458234590483228	0.487432530577655	0.463096076107713	0.487432530577655
Eicosapentaenoic	Omega-3	0.958460808755824	0.958460808755824	0.00574488961594583	0.034469337695675	0.748941512468094	0.958460808755824	0.253381861659347	0.570871766790834	0.285435883395417	0.570871766790834	0.841525613372234	0.958460808755824
Arachidonic	Omega-6	0.787389017662899	0.805245973657538	8.57701923343062e-05	0.000514621154005837	0.675594944782904	0.805245973657538	0.805245973657538	0.805245973657538	0.320161233970915	0.805245973657538	0.491832006454338	0.805245973657538
Dihomoglinolenic	Omega-6	0.732010641737226	0.732010641737226	9.50335181194771e-08	5.70201108716863e-07	0.400280034412036	0.600420051618054	0.537634541188294	0.645161449425953	0.0599235080540633	0.17977052416219	0.158106032330294	0.316212064660588
Docosapentaenoicn6	Omega-6	0.282868361214048	0.339442033456858	0.00043299598591352	0.00259797591548112	0.165129186960594	0.265844117220218	0.982586449041839	0.982586449041839	0.160900813127338	0.265844117220218	0.177229411480145	0.265844117220218
Docosatetraenoic	Omega-6	0.549657774241837	0.659589329090205	0.000452545180828714	0.00271527108497228	0.511972240369558	0.659589329090205	0.773801758111897	0.773801758111897	0.4691596793842	0.659589329090205	0.0371692317387234	0.11150769521617
Eicosadienoic	Omega-6	0.640708724884826	0.759130391804665	0.0021978178228616	0.0131869069371696	0.584051029089099	0.759130391804665	0.711236985451053	0.759130391804665	0.759130391804665	0.759130391804665	0.0678526453180405	0.203557935954122
gammaLinolenic	Omega-6	0.333753776194691	0.500630664292036	1.67268582809973e-06	1.00361149685984e-05	0.294548292794146	0.500630664292036	0.922010373570312	0.922010373570312	0.0594466172999755	0.178339851899927	0.55938180004613	0.671258160055356
Linoleic	Omega-6	0.92653317849329	0.92653317849329	0.0116549767328278	0.0349649301984834	0.00934475508060288	0.0349649301984834	0.115770254721027	0.20469276735508	0.799593575717088	0.92653317849329	0.136461844903387	0.20469276735508
Elaidic	trans	0.714811787710506	0.746315117366304	0.0279856361393859	0.112436594392182	0.0374788647973941	0.112436594392182	0.151498361833574	0.227247542750361	0.746315117366304	0.746315117366304	0.0788216319858441	0.157643263971688
Palmitelaidic	trans	0.655233335197908	0.863608617396755	0.00132731085474825	0.0079638651284895	0.749799479983441	0.863608617396755	0.0771641614503491	0.231492484351047	0.863608617396755	0.863608617396755	0.411535801891225	0.823071603782451
Linoelaidic	trans	0.857446377194906	0.935541708532048	0.00170821353359226	0.00512464060077677	0.00163789739925959	0.00512464060077677	0.935541708532048	0.935541708532048	0.143520873030036	0.287041746060071	0.249908630702255	0.374862946053382
