Fatty_Acid	Class	Fstat.pval	Fstat.pval.adj
Arachidic	saturated	0.00639733620094196	0.00852978160125595
Behenic	saturated	0.000928926588174228	0.00173223678154087
Lignoceric	saturated	0.117288297502513	0.122387788698274
Myristic	saturated	0.0161282725643019	0.0193539270771623
Palmitic	saturated	1.13256232425751e-05	4.53024929703005e-05
Stearic	saturated	0.000798081913255588	0.00173223678154087
Eicosenoic	cis-monounsaturated	0.503139020518348	0.503139020518348
Nervonic	cis-monounsaturated	0.0556641025903684	0.0607244755531291
Oleic	cis-monounsaturated	0.00544983260250453	0.00769388132118287
Palmitoleic	cis-monounsaturated	6.69265264252594e-05	0.000229462376315175
alphaLinolenic	Omega-3	1.81591920389579e-08	2.18271551499782e-07
Docosahexaenoic	Omega-3	5.99269448731121e-07	4.79415558984897e-06
Docosapentaenoicn3	Omega-3	0.00526797914140076	0.00769388132118287
Eicosapentaenoic	Omega-3	0.00682926063800249	0.00862643449010841
Arachidonic	Omega-6	1.81892959583152e-08	2.18271551499782e-07
Dihomoglinolenic	Omega-6	5.13560919657152e-06	2.46509241435433e-05
Docosapentaenoicn6	Omega-6	0.000411205878452003	0.00109654900920534
Docosatetraenoic	Omega-6	0.000902722596984318	0.00173223678154087
Eicosadienoic	Omega-6	0.0031729872280406	0.00507677956486496
gammaLinolenic	Omega-6	0.000396094774154587	0.00109654900920534
Linoleic	Omega-6	3.08695921946711e-06	1.85217553168027e-05
Elaidic	trans	0.0305996581460934	0.0349710378812496
Palmitelaidic	trans	0.000938294923334637	0.00173223678154087
Linoelaidic	trans	0.00316645844757957	0.00507677956486496
