Fatty_Acid	Class	age_l	age_m	age_u	bmi_l	bmi_m	bmi_u	education_l	education_m	education_u	smoke_l	smoke_m	smoke_u	diabetes_l	diabetes_m	diabetes_u	aspirin_l	aspirin_m	aspirin_u
Arachidic	saturated	-0.0019473745711104	0.00288827826080003	0.00772393109271046	0.00195143127215259	0.00974780877566096	0.0175441862791693	-0.0104241098400342	0.0204200430825968	0.0512641960052278	-0.0637459522694411	-0.0163356549633788	0.0310746423426834	0.00672722786091526	0.142698546531963	0.278669865203011	-0.0583827473090723	0.0559646715188102	0.170312090346693
Behenic	saturated	0.000458945963742271	0.00620459239159376	0.0119502388194452	0.0023635918913988	0.0116271246780396	0.0208906574646804	0.0105291232939196	0.0471776593282994	0.0838261953626792	-0.0653164218930835	-0.00898425438048413	0.0473479131321152	-0.0698639961396461	0.0916949801907363	0.253253956521119	-0.0533572475669716	0.082508552017921	0.218374351602814
Lignoceric	saturated	-0.00319978002474454	0.00248724708316555	0.00817427419107564	-0.00647118778361175	0.00269783483798032	0.0118668574595724	-0.00018429685217658	0.0360903365611214	0.0723649699744193	-0.0465679406950665	0.00918950413108171	0.0649469489572299	-0.096384032498003	0.0635266563086278	0.223437345115259	-0.00619976521134741	0.128279878633722	0.262759522478791
Myristic	saturated	-0.0152608919873376	-0.00550610124673561	0.00424868949386639	0.00838732662219044	0.0241146821055276	0.0398420375888647	-0.116240098673371	-0.0540192842786944	0.00820153011598262	3.4651320254403e-06	0.095642574316721	0.191281683501417	-0.193261523783582	0.0810285889406122	0.355318701664807	-0.328454700099878	-0.0977857126504029	0.132883274799072
Palmitic	saturated	-0.00328138972194941	0.000821155346251307	0.00492370041445202	0.00722100665050684	0.0138354165737711	0.0204498264970354	-0.00216530072897001	0.0240027332168367	0.0501707671626435	-0.000603014836492069	0.0396196579144119	0.0798423306653159	0.0489752948429481	0.164332720659283	0.279690146475617	-0.0945781950822025	0.00243361603833985	0.0994454271588822
Stearic	saturated	-0.00250967669987515	0.00127254683659054	0.00505477037305623	0.00297959995257261	0.00907756511217884	0.0151755302717851	0.00734797404697685	0.031472840988724	0.0555977079304712	0.00318181242623727	0.0402639497456324	0.0773460870650276	-0.0431632549609685	0.0631872089036467	0.169537672768262	-0.0496676733503071	0.0397695782180717	0.129206829786451
Eicosenoic	cis-monounsaturated	-0.00342660816922019	0.00155982411616942	0.00654625640155904	-0.0099895277984578	-0.0019500531206984	0.00608942155706099	-0.0339663900283895	-0.00216049219098437	0.0296454056464207	-0.0225706000489119	0.0263179875657351	0.0752065751803822	-0.0152229212073585	0.124988089978995	0.265199101165348	-0.162733751970528	-0.0448208908090173	0.0730919703524935
Nervonic	cis-monounsaturated	0.00406889334168173	0.010525149074235	0.0169814048067884	-0.0136063600631508	-0.00319713328450105	0.00721209349414873	-0.0169076209233546	0.0242735279400169	0.0654546768033885	-0.0812036882212323	-0.0179044782894488	0.0453947316423347	-0.107554351186332	0.0739858950116084	0.255526141209549	-0.143754187060567	0.00891520505096854	0.161584597162504
Oleic	cis-monounsaturated	-0.00169397333779363	0.00305503495185409	0.00780404324150181	0.000785390006075965	0.00844207312217069	0.0160987562382654	-0.00953974209563639	0.0207517496653358	0.051043241426308	0.0222479716214932	0.0688087779381455	0.115369584254798	0.000674906667604475	0.134209910516925	0.267744914366246	-0.121779261158086	-0.00948070317850225	0.102817854801082
Palmitoleic	cis-monounsaturated	-0.00140068517812864	0.00798040223254064	0.0173614896432099	-0.0165440805658111	-0.00141923571252737	0.0137056091407564	-0.0933404749891024	-0.0335033227506656	0.0263338294877711	0.107095667238481	0.199070868654724	0.291046070070967	-0.408014679760483	-0.144232545240885	0.119549589278712	-0.334583090944157	-0.112750968478702	0.109081153986752
