Fatty_Acid	Class	age_pval	age_pval.adj	bmi_pval	bmi_pval.adj	education_pval	education_pval.adj	smoke_pval	smoke_pval.adj	diabetes_pval	diabetes_pval.adj	aspirin_pval	aspirin_pval.adj
Arachidic	saturated	0.241217570933667	0.3618263564005	0.0143573335264856	0.0861440011589138	0.194006658087823	0.3618263564005	0.498824413859269	0.498824413859269	0.0397267612916345	0.119180283874903	0.336801370022114	0.404161644026537
Behenic	saturated	0.0343514557899655	0.068702911579931	0.0139851990571696	0.0419555971715087	0.0117273338247337	0.0419555971715087	0.754197311501048	0.754197311501048	0.265411523281551	0.318493827937862	0.233445952532147	0.318493827937862
Lignoceric	saturated	0.39068080618264	0.653313958655636	0.563542628332216	0.676251153998659	0.0511713686615301	0.184496084925344	0.746268883932673	0.746268883932673	0.435542639103757	0.653313958655636	0.0614986949751148	0.184496084925344
Myristic	saturated	0.268038600862057	0.402057901293086	0.00271469706551857	0.0162881823931114	0.0886937088858199	0.17738741777164	0.0499917282358642	0.149975184707593	0.561982063634567	0.561982063634567	0.405388257023507	0.486465908428209
Palmitic	saturated	0.694359918731216	0.83323190247746	4.57394187186958e-05	0.000274436512312175	0.0721341032887518	0.108201154933128	0.0535228559931601	0.10704571198632	0.0053166425711561	0.0159499277134683	0.960719105277733	0.960719105277733
Stearic	saturated	0.508972573617313	0.508972573617313	0.00359548440462162	0.0215729064277298	0.0106529155637038	0.0319587466911113	0.0333794456536135	0.066758891307227	0.243702616773775	0.365553925160663	0.382815182540635	0.459378219048762
Eicosenoic	cis-monounsaturated	0.539183149937052	0.760741244175053	0.633951036812544	0.760741244175053	0.893907244907792	0.893907244907792	0.290795200543953	0.760741244175053	0.0805022539973922	0.483013523984353	0.455602128435514	0.760741244175053
Nervonic	cis-monounsaturated	0.00144146888767312	0.00864881332603873	0.546559784354001	0.694462962079971	0.2474543978823	0.694462962079971	0.578719135066643	0.694462962079971	0.423761591665445	0.694462962079971	0.908724085907503	0.908724085907503
Oleic	cis-monounsaturated	0.206910840796181	0.248293008955418	0.0307559842772059	0.0922679528316177	0.178972396745612	0.248293008955418	0.00384420796039852	0.0230652477623911	0.0488571750962495	0.097714350192499	0.868354473480825	0.868354473480825
Palmitoleic	cis-monounsaturated	0.095294229742244	0.285882689226732	0.853837491255325	0.853837491255325	0.271904774709567	0.382251944401109	2.48812125940309e-05	0.000149287275564186	0.283286826653476	0.382251944401109	0.318543287000925	0.382251944401109
alphaLinolenic	Omega-3	0.340769511275488	0.511154266913233	2.20752519687696e-06	1.32451511812618e-05	0.00204811413796922	0.00614434241390767	0.492730622980518	0.591276747576622	0.0371413889349175	0.074282777869835	0.833774580606284	0.833774580606284
