Fatty_Acid	Class	Fstat	Fstat.pval	Fstat.pval.adj	Age.est	Age.se	Age.pval	Age.pval.adj	BMI.est	BMI.se	BMI.pval	BMI.pval.adj	Education.est	Education.se	Education.pval	Education.pval.adj	Smoking.est	Smoking.se	Smoking.pval	Smoking.pval.adj	Diabetes.est	Diabetes.se	Diabetes.pval	Diabetes.pval.adj	Aspirin.est	Aspirin.se	Aspirin.pval	Aspirin.pval.adj
Arachidic	saturated	3.02636420573834	0.00639733620094196	0.00852978160125595	0.00288827826080003	0.00246191120859367	0.241217570933667	0.3618263564005	0.00974780877566096	0.00396926533593435	0.0143573335264856	0.0861440011589138	0.0204200430825968	0.0157032707763271	0.194006658087823	0.3618263564005	-0.0163356549633788	0.0241373701541019	0.498824413859269	0.498824413859269	0.142698546531963	0.0692252577096742	0.0397267612916345	0.119180283874903	0.0559646715188102	0.0582161709849011	0.336801370022114	0.404161644026537
Behenic	saturated	3.83529491256165	0.000928926588174228	0.00173223678154087	0.00620459239159376	0.00292520406924154	0.0343514557899655	0.068702911579931	0.0116271246780396	0.00471621846963648	0.0139851990571696	0.0419555971715087	0.0471776593282994	0.0186583786673418	0.0117273338247337	0.0419555971715087	-0.00898425438048413	0.0286796425269542	0.754197311501048	0.754197311501048	0.0916949801907363	0.0822523594026395	0.265411523281551	0.318493827937862	0.082508552017921	0.0691715361895492	0.233445952532147	0.318493827937862
Lignoceric	saturated	1.70593775952398	0.117288297502513	0.122387788698274	0.00248724708316555	0.0028953599994085	0.39068080618264	0.653313958655636	0.00269783483798032	0.00466810177417728	0.563542628332216	0.676251153998659	0.0360903365611214	0.0184680186299774	0.0511713686615301	0.184496084925344	0.00918950413108171	0.0283870416573735	0.746268883932673	0.746268883932673	0.0635266563086278	0.0814131888354452	0.435542639103757	0.653313958655636	0.128279878633722	0.0684658212692788	0.0614986949751148	0.184496084925344
Myristic	saturated	2.62532857542998	0.0161282725643019	0.0193539270771623	-0.00550610124673561	0.00496632605701059	0.268038600862057	0.402057901293086	0.0241146821055276	0.00800705801095897	0.00271469706551857	0.0162881823931114	-0.0540192842786944	0.0316776505036165	0.0886937088858199	0.17738741777164	0.095642574316721	0.0486914596779882	0.0499917282358642	0.149975184707593	0.0810285889406122	0.139645654143317	0.561982063634567	0.561982063634567	-0.0977857126504029	0.117437414433339	0.405388257023507	0.486465908428209
Palmitic	saturated	5.61324529684039	1.13256232425751e-05	4.53024929703005e-05	0.000821155346251307	0.00208867386436709	0.694359918731216	0.83323190247746	0.0138354165737711	0.00336750600060843	4.57394187186958e-05	0.000274436512312175	0.0240027332168367	0.0133225809042601	0.0721341032887518	0.108201154933128	0.0396196579144119	0.0204780310595465	0.0535228559931601	0.10704571198632	0.164332720659283	0.058730382325554	0.0053166425711561	0.0159499277134683	0.00243361603833985	0.0493903250430984	0.960719105277733	0.960719105277733
Stearic	saturated	3.89781436827638	0.000798081913255588	0.00173223678154087	0.00127254683659054	0.00192559284992198	0.508972573617313	0.508972573617313	0.00907756511217884	0.00310457538989978	0.00359548440462162	0.0215729064277298	0.031472840988724	0.0122823706321063	0.0106529155637038	0.0319587466911113	0.0402639497456324	0.0188791322865007	0.0333794456536135	0.066758891307227	0.0631872089036467	0.0541447883312982	0.243702616773775	0.365553925160663	0.0397695782180717	0.0455339909120429	0.382815182540635	0.459378219048762
Eicosenoic	cis-monounsaturated	0.888159953351441	0.503139020518348	0.503139020518348	0.00155982411616942	0.00253867553379429	0.539183149937052	0.760741244175053	-0.0019500531206984	0.00409303014678194	0.633951036812544	0.760741244175053	-0.00216049219098437	0.0161929110933213	0.893907244907792	0.893907244907792	0.0263179875657351	0.0248899923142875	0.290795200543953	0.760741244175053	0.124988089978995	0.0713837556182796	0.0805022539973922	0.483013523984353	-0.0448208908090173	0.0600313969223029	0.455602128435514	0.760741244175053
Nervonic	cis-monounsaturated	2.06463394104961	0.0556641025903684	0.0607244755531291	0.010525149074235	0.00328698707414044	0.00144146888767312	0.00864881332603873	-0.00319713328450105	0.00529951031845	0.546559784354001	0.694462962079971	0.0242735279400169	0.0209660071749702	0.2474543978823	0.694462962079971	-0.0179044782894488	0.032226679590771	0.578719135066643	0.694462962079971	0.0739858950116084	0.0924251559119874	0.423761591665445	0.694462962079971	0.00891520505096854	0.0777265243626021	0.908724085907503	0.908724085907503
Oleic	cis-monounsaturated	3.0948108050221	0.00544983260250453	0.00769388132118287	0.00305503495185409	0.00241779903239434	0.206910840796181	0.248293008955418	0.00844207312217069	0.00389814460206326	0.0307559842772059	0.0922679528316177	0.0207517496653358	0.0154219017956047	0.178972396745612	0.248293008955418	0.0688087779381455	0.0237048801757836	0.00384420796039852	0.0230652477623911	0.134209910516925	0.0679848893507854	0.0488571750962495	0.097714350192499	-0.00948070317850225	0.0571730618820333	0.868354473480825	0.868354473480825
Palmitoleic	cis-monounsaturated	4.90377886462064	6.69265264252594e-05	0.000229462376315175	0.00798040223254064	0.0047760674820817	0.095294229742244	0.285882689226732	-0.00141923571252737	0.00770030983755067	0.853837491255325	0.853837491255325	-0.0335033227506656	0.0304640884916326	0.271904774709567	0.382251944401109	0.199070868654724	0.0468261033515617	2.48812125940309e-05	0.000149287275564186	-0.144232545240885	0.134295867833009	0.283286826653476	0.382251944401109	-0.112750968478702	0.112938419631764	0.318543287000925	0.382251944401109
