Fatty_Acid	Class	Fstat.pval	Fstat.pval.adj
Arachidic	saturated	0.000683927022305464	0.00182380539281457
Behenic	saturated	0.00959298758240967	0.0146901302176407
Lignoceric	saturated	0.393397217388693	0.393397217388693
Myristic	saturated	1.09388141622535e-06	8.75105132980281e-06
Palmitic	saturated	1.07863803504582e-05	3.69818754872853e-05
Stearic	saturated	7.66855401401756e-09	1.84045296336421e-07
Eicosenoic	cis-monounsaturated	0.0105528750024162	0.0146901302176407
Nervonic	cis-monounsaturated	0.0410159322464654	0.0468753511388176
Oleic	cis-monounsaturated	0.00157764313843289	0.00378634353223894
Palmitoleic	cis-monounsaturated	2.2805777000201e-07	2.73669324002412e-06
alphaLinolenic	Omega-3	1.02732360324209e-05	3.69818754872853e-05
Docosahexaenoic	Omega-3	0.0519696156556451	0.0566941261697946
Docosapentaenoicn3	Omega-3	0.0362309142090211	0.0434770970508254
Eicosapentaenoic	Omega-3	0.190329205307707	0.198604388147172
Arachidonic	Omega-6	0.00207578005904263	0.00415156011808526
Dihomoglinolenic	Omega-6	1.53191397405106e-05	4.59574192215317e-05
Docosapentaenoicn6	Omega-6	0.00999135909627069	0.0146901302176407
Docosatetraenoic	Omega-6	0.00549353285322651	0.00941748489124545
Eicosadienoic	Omega-6	0.0180407264045837	0.0227882859847372
gammaLinolenic	Omega-6	9.356489348189e-06	3.69818754872853e-05
Linoleic	Omega-6	0.00190481453789393	0.00415156011808526
Elaidic	trans	0.00406100531835485	0.00749724058773203
Palmitelaidic	trans	0.0110175976632305	0.0146901302176407
Linoelaidic	trans	6.15451886076812e-06	3.69271131646087e-05
