Fatty_Acid	Class	age_l	age_m	age_u	bmi_l	bmi_m	bmi_u	education_l	education_m	education_u	smoke_l	smoke_m	smoke_u	diabetes_l	diabetes_m	diabetes_u	aspirin_l	aspirin_m	aspirin_u	gleason_l	gleason_m	gleason_u
Arachidic	saturated	-0.00744742576755814	-0.00332010347184102	0.000807218823876115	0.00905397471900048	0.0180993569442991	0.0271447391695978	-0.0508329240977995	-0.0142253341341469	0.0223822558295057	-0.108528800213712	-0.0302171537993526	0.0480944926150069	-0.0384418001627582	0.0645031554360591	0.167448111034876	-0.207266214162663	-0.0993006333718471	0.0086649474189683	-0.00932422472681492	0.0218150434851969	0.0529543116972087
Behenic	saturated	-0.00512366500449832	-0.000704898104099719	0.00371386879629889	0.00593014807644684	0.0156142562499421	0.0252983644234374	-0.0313367928878582	0.00785578652436971	0.0470483659365976	-0.0752003621451092	0.00864114241841208	0.0924826469819334	-0.12194875029335	-0.0117344927745976	0.0984797647441551	-0.268913280658271	-0.153323874113544	-0.0377344675688159	-0.0254244822132782	0.00791363819972061	0.0412517586127194
Lignoceric	saturated	-0.00702355404441849	-0.00251374921308728	0.00199605561824393	-0.00293180581061627	0.00695181982802592	0.0168354454666681	-0.0518417384230575	-0.0118416913579694	0.0281583557071186	-0.087290279737074	-0.00172142515175104	0.0838474294335719	-0.145507504860458	-0.0330225509709877	0.0794624029184824	-0.22051806291629	-0.102547218145298	0.0154236266256941	-0.0361321706842027	-0.00210719948862301	0.0319177717069567
Myristic	saturated	-0.016134202339984	-0.00816558657941967	-0.00019697081885529	0.0337317263716102	0.051195634008685	0.0686595416457599	-0.103488057776986	-0.0328098316924021	0.037868394392182	-0.0923372719222746	0.0588589214306806	0.210055114783636	-0.253021024903166	-0.0542653337116692	0.144490357479828	-0.289458612665626	-0.0810096069795572	0.127439398706512	-0.0315488985239519	0.0285716459036463	0.0886921903312445
Palmitic	saturated	-0.00538892375380474	-0.00169750875760889	0.00199390623858696	0.0150078975984265	0.0230979514397366	0.0311880052810466	-0.0477676620476258	-0.0150263840750665	0.0177148938974928	-0.0869302097249534	-0.0168894507925265	0.0531513081399003	-0.0920536429351322	1.87773055949746e-05	0.0920911975463221	-0.166113804365421	-0.0695510124512116	0.027011779462998	-0.0132102627266478	0.0146402305017742	0.0424907237301962
Stearic	saturated	-0.00370673404806001	-0.000518432562189684	0.00266986892368064	0.0145337632579325	0.0215212005169784	0.0285086377760243	-0.0134264478538402	0.0148524276767574	0.0431313032073551	-0.0737337584561939	-0.0132390549330537	0.0472556485900865	-0.119347208882629	-0.0398236021996338	0.0397000044833609	-0.18383505721498	-0.100433084460052	-0.0170311117051231	-0.0272815045927152	-0.00322683476179486	0.0208278350691255
Eicosenoic	cis-monounsaturated	-0.0095954629223568	-0.00543694452145194	-0.00127842612054708	0.000609436827068896	0.00972318800326254	0.0188369391794562	-0.0544505453642677	-0.017566259241374	0.0193180268815198	-0.115553300889263	-0.036649740836004	0.0422538192172545	-0.0461332438532165	0.0575898146979046	0.161312873249026	-0.195489898493117	-0.0867082666712255	0.0220733651506663	-0.00712587281340388	0.0242487595928747	0.0556233919991533
Nervonic	cis-monounsaturated	-0.00449277924435593	0.00151019895229159	0.0075131771489391	-0.00611368691431305	0.00704235673538119	0.0201984003850754	-0.109257017030926	-0.0560131585099537	-0.00276929998898109	-0.116560646088973	-0.00266038042355875	0.111239885241856	-0.295357733185739	-0.145629585094224	0.00409856299729094	-0.268002159286652	-0.110971769838222	0.0460586196102088	-0.0259451006813282	0.0193453648416185	0.0646358303645652
Oleic	cis-monounsaturated	-0.00639950355974413	-0.00238663415158346	0.0016262352565772	0.00813617037195396	0.016930719238343	0.025725268104732	-0.0614648181197122	-0.0258723764962246	0.00972006512726305	-0.0960792040481523	-0.019939182096153	0.0562008398558462	-0.0840442650577609	0.0160459710441363	0.116136207146033	-0.223267116692707	-0.118295480060564	-0.0133238434284208	-0.00766759715547596	0.02260816224673	0.0528839216489359
Palmitoleic	cis-monounsaturated	-0.00860592810887178	-0.00156211357081029	0.0054817009672512	0.0101283692438195	0.0255654953647907	0.0410026214857619	-0.16577250370064	-0.103296870368844	-0.0408212370370482	-0.105733164142142	0.0279158881951079	0.161564940532358	-0.577166375664387	-0.401477364021294	-0.225788352378202	-0.309321993593876	-0.125064629352235	0.0591927348894059	-0.0176166947359348	0.0355265333477964	0.0886697614315276
alphaLinolenic	Omega-3	-0.00957302803678173	-0.00251727329642066	0.00453848144394041	0.00821341270130305	0.023676706803815	0.039140000906327	0.0311581362291631	0.09373967406721	0.156321211905257	-0.237721820513232	-0.103846215260167	0.0300293899928969	-0.059695151724119	0.116291676156113	0.292278504036345	-0.211546551819027	-0.0269768468432072	0.157592858132612	-0.0609321372214793	-0.00769882429937758	0.0455344886227241
Docosahexaenoic	Omega-3	-0.00939244615281082	-0.000806552197462404	0.00777934175788601	0.0093477412285294	0.028164467184871	0.0469811931412125	-0.138762270006294	-0.0626090493782485	0.0135441712497971	-0.240132670290859	-0.0772242654201883	0.0856841394504824	-0.375663435376503	-0.161511399581605	0.052640636213293	-0.346662991869144	-0.122066761897121	0.102529468074902	-0.065355481672686	-0.000577779433895582	0.0641999228048949
Docosapentaenoicn3	Omega-3	-0.0113067121922951	-0.00295949239890366	0.00538772739448776	0.0111232506102656	0.0294169015878385	0.0477105525654113	-0.112463901582937	-0.0384276190638704	0.0356086634551966	-0.274165534802062	-0.115785723833257	0.0425940871355475	-0.26606474305366	-0.0578657923935829	0.150333158266494	-0.326338376336049	-0.107985563443954	0.110367249448141	-0.0832322077580718	-0.0202552223550294	0.0427217630480129
Eicosapentaenoic	Omega-3	-0.0103706325141336	0.000330042543718385	0.0110307176015704	0.00821438300090852	0.0316658338525734	0.0551172847042383	-0.111794898199615	-0.0168844703760791	0.0780259574474564	-0.316838437607618	-0.11380426157658	0.0892299144544584	-0.400431886906358	-0.133532323513638	0.133367239879083	-0.28167168352157	-0.00175542918067972	0.27816082516021	-0.102090151166718	-0.0213571318379858	0.0593758874907462
Arachidonic	Omega-6	-0.00694157094199665	-0.000869724602176824	0.005202121737643	0.0117038785529411	0.0250108526688087	0.0383178267846763	-0.0451596463113413	0.00869504329239565	0.0625497328961326	-0.133413134907949	-0.0182061678776031	0.0970007991527424	-0.215375798937866	-0.0639299202130044	0.087515958511857	-0.22982924666712	-0.0709973528672366	0.0878345409326469	-0.0801663591994639	-0.034356306537967	0.0114537461235298
Dihomoglinolenic	Omega-6	-0.00712316175535012	-0.000966811728710771	0.00518953829792857	0.0230985185283119	0.0365906897506722	0.0500828609730324	-0.0750710300974002	-0.0204668288016115	0.0341373724941772	-0.0781441056765236	0.0386662308919331	0.15547656746039	-0.28237478430278	-0.128821188354915	0.0247324075929507	-0.286476947538752	-0.125434543152888	0.0356078612329756	-0.0463226763271965	0.000124928427459425	0.0465725331821154
