Fatty_Acid	Class	age_pval	age_pval.adj	bmi_pval	bmi_pval.adj	education_pval	education_pval.adj	smoke_pval	smoke_pval.adj	diabetes_pval	diabetes_pval.adj	aspirin_pval	aspirin_pval.adj	gleason_pval	gleason_pval.adj
Arachidic	saturated	0.114616837749936	0.267439288083184	9.69997171050075e-05	0.000678998019735052	0.445492401385974	0.448696075151965	0.448696075151965	0.448696075151965	0.218845272247162	0.306383381146026	0.0713515874330671	0.249730556015735	0.169281810656761	0.296243168649332
Behenic	saturated	0.754062198792071	0.839592088982737	0.00163335769962128	0.0114335038973489	0.693852656091716	0.839592088982737	0.839592088982737	0.839592088982737	0.834369028030726	0.839592088982737	0.00943795788814785	0.0330328526085175	0.641108422345231	0.839592088982737
Lignoceric	saturated	0.273944379583607	0.639203552361749	0.167585206208322	0.586548221729126	0.561024631669881	0.790012795204229	0.968483365495789	0.968483365495789	0.564294853717306	0.790012795204229	0.0882746336472794	0.586548221729126	0.903191068947289	0.968483365495789
Myristic	saturated	0.0446214940217107	0.156175229075988	1.52101169771253e-08	1.06470818839877e-07	0.362132002619599	0.519685722635597	0.4446752603832	0.519685722635597	0.591862957010203	0.591862957010203	0.445444905116226	0.519685722635597	0.350854050960559	0.519685722635597
Palmitic	saturated	0.366655190672273	0.514644890198318	3.45949957444755e-08	2.42164970211328e-07	0.367603492998799	0.514644890198318	0.635830584998947	0.741802349165438	0.999680416419081	0.999680416419081	0.157628611330306	0.514644890198318	0.302151427888538	0.514644890198318
Stearic	saturated	0.749470608676216	0.792202026668868	2.92948103977172e-09	2.0506367278402e-08	0.302573656390198	0.569798925679098	0.667361993638226	0.792202026668868	0.325599386102342	0.569798925679098	0.0183723536640473	0.0643032378241657	0.792202026668868	0.792202026668868
Eicosenoic	cis-monounsaturated	0.0105036759757319	0.0735257318301231	0.0365787200400248	0.128025520140087	0.349828248236215	0.36184933826546	0.36184933826546	0.36184933826546	0.27581403965485	0.36184933826546	0.117952022195375	0.226630365687398	0.129503066107084	0.226630365687398
Nervonic	cis-monounsaturated	0.621286522382324	0.724834276112711	0.2933983027038	0.51344702973165	0.0392597121602629	0.198037860508569	0.963411300247895	0.963411300247895	0.056582245859591	0.198037860508569	0.165591274640226	0.386379640827194	0.401701761176023	0.562382465646432
Oleic	cis-monounsaturated	0.243118969335243	0.340366557069341	0.000175056370085625	0.00122539459059938	0.15384246565378	0.269224314894116	0.607077771992795	0.70825740065826	0.752882003745954	0.752882003745954	0.0272778586101405	0.0954725051354916	0.142944114913372	0.269224314894116
Palmitoleic	cis-monounsaturated	0.66318994497638	0.681665106460936	0.00121895268055594	0.0028967981716309	0.00124148493069896	0.0028967981716309	0.681665106460936	0.681665106460936	8.9622210284271e-06	6.27355471989897e-05	0.182926576615157	0.265453633889254	0.189609738492324	0.265453633889254
alphaLinolenic	Omega-3	0.483609574382767	0.677053404135874	0.00276435986452818	0.0119266390498395	0.00340761115709699	0.0119266390498395	0.128116707020733	0.298938983048378	0.194755868389076	0.340822769680883	0.774076678582849	0.776388061439582	0.776388061439582	0.776388061439582
Docosahexaenoic	Omega-3	0.853626766129036	0.986023609939795	0.00343109087660413	0.0240176361362289	0.106864639985935	0.324352791049534	0.35207511661921	0.492905163266894	0.139008339021229	0.324352791049534	0.286075084163481	0.492905163266894	0.986023609939795	0.986023609939795
Docosapentaenoicn3	Omega-3	0.486334188615411	0.585219526921269	0.00168066161799509	0.0117646313259656	0.308287275685444	0.58038582244716	0.151507325871921	0.530275640551722	0.585219526921269	0.585219526921269	0.331649041398377	0.58038582244716	0.527685261703597	0.585219526921269
Eicosapentaenoic	Omega-3	0.951697109935064	0.990172909967298	0.00824088378476394	0.0576861864933476	0.726811400238982	0.990172909967298	0.271270003550052	0.760785935942724	0.326051115404025	0.760785935942724	0.990172909967298	0.990172909967298	0.603425280316739	0.990172909967298
Arachidonic	Omega-6	0.778473569673807	0.778473569673807	0.000247423360720826	0.00173196352504578	0.751184717052019	0.778473569673807	0.756291346934846	0.778473569673807	0.407241187734415	0.712672078535227	0.380194085317631	0.712672078535227	0.141226183933016	0.494291643765555
Dihomoglinolenic	Omega-6	0.757765640083039	0.884059913430212	1.53670472586137e-07	1.07569330810296e-06	0.461770295855358	0.721996452316403	0.515711751654574	0.721996452316403	0.0999126077790921	0.295293766411534	0.126554471319229	0.295293766411534	0.995785202833319	0.995785202833319
Docosapentaenoicn6	Omega-6	0.286847154458759	0.401586016242263	0.000684852982599032	0.00479397087819323	0.193782153328205	0.401586016242263	0.995386079516441	0.995386079516441	0.251810577132076	0.401586016242263	0.132847480281521	0.401586016242263	0.505709087069004	0.589993934913838
Docosatetraenoic	Omega-6	0.521610759856705	0.694054958407122	0.000838495076311586	0.0058694655341811	0.53723579373453	0.694054958407122	0.862348749082556	0.862348749082556	0.594904250063247	0.694054958407122	0.0277863575664843	0.097252251482695	0.285622201776291	0.666451804144679
Eicosadienoic	Omega-6	0.645042702439917	0.86871693159596	0.00207071944919079	0.0144950361443355	0.457852740903154	0.86871693159596	0.696304639050795	0.86871693159596	0.86871693159596	0.86871693159596	0.0517402108238896	0.181090737883614	0.827640420182385	0.86871693159596
gammaLinolenic	Omega-6	0.343685435660835	0.534062659436849	4.89070734263397e-06	3.42349513984378e-05	0.314339425901774	0.534062659436849	0.931264413130676	0.931264413130676	0.0959228411481965	0.335729944018688	0.457767993803013	0.534062659436849	0.392325297314551	0.534062659436849
Linoleic	Omega-6	0.902592418534143	0.991798742087802	0.0125534014053011	0.0439369049185538	0.0113634061694245	0.0439369049185538	0.143819797892545	0.251684646311954	0.833951616919268	0.991798742087802	0.092980179660484	0.216953752541129	0.991798742087802	0.991798742087802
Elaidic	trans	0.783364929078403	0.783364929078403	0.0452166018744061	0.141910271817065	0.0269875174721147	0.141910271817065	0.213002653066259	0.366604564153961	0.577789846802805	0.674088154603273	0.0608186879215994	0.141910271817065	0.261860402967115	0.366604564153961
Palmitelaidic	trans	0.66949999042495	0.890725485611452	0.00358916720987276	0.0251241704691093	0.890725485611452	0.890725485611452	0.0729656549589947	0.255379792356482	0.890446615954312	0.890725485611452	0.295919420716655	0.517858986254146	0.115125158150231	0.268625369017205
Linoelaidic	trans	0.884498656280986	0.884498656280986	0.00295595161246999	0.010345830643645	0.00163107364181657	0.010345830643645	0.881714965700336	0.884498656280986	0.100599476677842	0.234732112248297	0.171741437983219	0.300547516470632	0.362923477876976	0.508092869027767
