Fatty_Acid	Class	Fstat.pval	Fstat.pval.adj
Arachidic	saturated	0.0944058861084354	0.113287063330122
Behenic	saturated	0.0247326625706528	0.0370989938559791
Lignoceric	saturated	0.000371958973640951	0.00178540307347657
Myristic	saturated	0.00122607285984366	0.00490429143937465
Palmitic	saturated	0.0024620664654047	0.00590895951697128
Stearic	saturated	0.0038305254614065	0.00656661507669685
Eicosenoic	cis-monounsaturated	0.0427664319440251	0.0570219092587001
Nervonic	cis-monounsaturated	0.0674755416686001	0.085232263160337
Oleic	cis-monounsaturated	0.00216633955648804	0.00586399481026708
Palmitoleic	cis-monounsaturated	5.05695255132999e-05	0.000303417153079799
alphaLinolenic	Omega-3	0.207206467681859	0.226043419289301
Docosahexaenoic	Omega-3	0.00219899805385015	0.00586399481026708
Docosapentaenoicn3	Omega-3	0.953020852707386	0.953020852707386
Eicosapentaenoic	Omega-3	0.00668904141947446	0.0107024662711591
Arachidonic	Omega-6	0.0351848493783731	0.0496727285341738
Dihomoglinolenic	Omega-6	8.63513834215013e-07	6.9081106737201e-06
Docosapentaenoicn6	Omega-6	2.36339456782808e-07	5.67214696278739e-06
Docosatetraenoic	Omega-6	6.02636456958905e-07	6.9081106737201e-06
Eicosadienoic	Omega-6	0.387918350329985	0.404784365561724
gammaLinolenic	Omega-6	0.0032085309779647	0.00592344180547329
Linoleic	Omega-6	0.00297189182238311	0.00592344180547329
Elaidic	trans	0.00206723424198985	0.00586399481026708
Palmitelaidic	trans	0.107079201157539	0.12237622989433
Linoelaidic	trans	0.00291642760927002	0.00592344180547329
