Fatty_Acid	Class	age_l	age_m	age_u	bmi_l	bmi_m	bmi_u	education_l	education_m	education_u	smoke_l	smoke_m	smoke_u	diabetes_l	diabetes_m	diabetes_u	aspirin_l	aspirin_m	aspirin_u
Arachidic	saturated	-0.018337858785405	-0.0112119565743907	-0.00408605436337642	-0.0178340426308917	-0.0045915822073528	0.00865087821618605	-0.122656752855452	-0.0188095415083054	0.0850376698388414	-0.109822341403352	-0.0275814226220738	0.0546594961592042	-0.0673198767028278	0.0903319944286149	0.247983865560058	-0.0538720350179073	0.0617962290699243	0.177464493157756
Behenic	saturated	-0.0162618959093569	-0.0101716414790113	-0.00408138704866581	-0.0161864748532741	-0.0048686163035911	0.00644924224609189	-0.0320039276898585	0.0567505794949893	0.145505086679837	-0.0546656708645963	0.0156227087863607	0.0859110884373178	-0.0821344215600264	0.0526050090662422	0.187344439692511	-0.111537150760178	-0.0126796114688801	0.0861779278224182
Lignoceric	saturated	-0.016014187564922	-0.0101773418723059	-0.00434049617968977	-0.0225563630105127	-0.011709428012822	-0.000862493015131275	0.0154321517324137	0.100493682229549	0.185555212726683	-0.0485790512563157	0.0187847068097624	0.0861484648758405	-0.135876598133006	-0.00674352589913135	0.122389546334744	-0.142405068070024	-0.0476608814363784	0.0470833051972674
Myristic	saturated	-0.0211856195716219	-0.0108706998191654	-0.000555780066708825	0.00625267904199457	0.0254214681369045	0.0445902572318144	-0.212827036451714	-0.0625056287418902	0.0878157789679339	-0.0224274173570317	0.0966183473022106	0.215664111961453	-0.0137211937490549	0.21448379018013	0.442688774109314	-0.246122422914462	-0.0786897488977199	0.0887429251190221
Palmitic	saturated	-0.0127765653640526	-0.00710951327870866	-0.00144246119336469	0.00126251278052098	0.0117939108738467	0.0223253089671723	-0.10614738639286	-0.0235602924088358	0.0590268015751889	-0.00574026770135411	0.0596638813423512	0.125068030386057	-0.0386299485644909	0.0867466477734284	0.212123244111348	-0.126290049169528	-0.0343019671279475	0.0576861149136335
Stearic	saturated	-0.0124867340050859	-0.00772682742166674	-0.00296692083824753	-0.00161270128717298	0.00723289786422193	0.0160784970156168	-0.112790134141668	-0.0434230546724908	0.025944024796686	-0.0332121282285804	0.0217225423775338	0.076657212983648	-0.0786572549927537	0.0266498565933456	0.131956968179445	-0.115897535870144	-0.0386343184668312	0.0386288989364813
Eicosenoic	cis-monounsaturated	-0.014193495381576	-0.00715889807384079	-0.000124300766105616	-0.00421678427109755	0.00885599917227174	0.021928782615641	-0.155842543401298	-0.0533259368403357	0.049190669720627	-0.0509261381534507	0.0302610194460781	0.111448177045607	-0.0700581380978506	0.0855737237183962	0.241205585534643	-0.0129366109884416	0.101249583972946	0.215435778934334
Nervonic	cis-monounsaturated	-0.0107297596802267	-0.00422272389107819	0.00228431189807035	-0.0241438334629843	-0.0120514469327339	4.09395975165244e-05	-0.0241641262261053	0.0706642198315618	0.165492565889229	-0.0416884661396045	0.0334100387227102	0.108508543585025	-0.254440773401269	-0.110480564953149	0.0334796434949709	-0.0423918725289557	0.0632308980059595	0.168853668540875
Oleic	cis-monounsaturated	-0.0152354231030815	-0.00867951585330068	-0.00212360860351989	0.00358469360372317	0.0157679006875117	0.0279511077713003	-0.12542497945267	-0.029884419734075	0.0656561399845201	-0.0122809810901439	0.063381555343972	0.139044091778088	-0.0781810831645731	0.0668603465781208	0.211901776320815	-0.0884663186236506	0.0179497377082591	0.124365794040169
Palmitoleic	cis-monounsaturated	-0.021546112207022	-0.0113189676935574	-0.00109182318009275	0.0139253578739771	0.0329310293601833	0.0519367008463895	-0.204613339671843	-0.0555710982380524	0.0934711431957382	0.0623421357371457	0.180374875506742	0.298407615276338	-0.267163547297494	-0.040900483178085	0.185362580941325	-0.212496376681076	-0.0464884779732621	0.119519420734551
alphaLinolenic	Omega-3	-0.0206661331428071	-0.0112154054851934	-0.00176467782757964	-0.0186332145358386	-0.00107040167739768	0.0164924111810432	-0.191878072640585	-0.0541507107736807	0.083576651093224	-0.215874835352308	-0.106802818546851	0.00226919825860587	-0.227431847270921	-0.018346056495746	0.190739734279429	-0.14842390066818	0.0049811321476502	0.15838616496348
Docosahexaenoic	Omega-3	-0.00216046586040827	0.00505302929464232	0.0122665244496929	-0.00484522385671008	0.0085600154066772	0.0219652546700645	0.030032288218811	0.135156009220805	0.240279730222799	-0.125724089124414	-0.0424722493421192	0.0407795904401754	-0.207698417694413	-0.0481086598061332	0.111481098082146	0.0238387961951844	0.140928876564379	0.258018956933574
Docosapentaenoicn3	Omega-3	-0.00665139757463771	-0.000155282096322283	0.00634083338199314	-0.0135611530455009	-0.00148906033626261	0.0105830323729757	-0.0590033740542781	0.0356658281092572	0.130335030272793	-0.0975325474962148	-0.0225600752918986	0.0524123969124175	-0.0921086392846258	0.0516099706423248	0.195328580569275	-0.10582862913295	-0.000383118032695066	0.10506239306756
Eicosapentaenoic	Omega-3	-0.00807956484253012	0.00276076386001239	0.0136010925625549	-0.0136590789073121	0.00648610686294541	0.026631292633203	0.0418051931896848	0.19978349158753	0.357761789985374	-0.249636541016468	-0.124526966679317	0.000582607657833203	-0.330326717678257	-0.0904977033263386	0.14933131102558	-0.0219651961670175	0.153995961597189	0.329957119361395
Arachidonic	Omega-6	-0.00511892757440947	-0.000177625544451683	0.00476367648550611	0.00120729763224878	0.0103899940312153	0.0195726904301818	-0.102661906290566	-0.0306513143627161	0.0413592775651338	0.0125174704903514	0.0695456483807803	0.126573826271209	-0.0706003755152197	0.0387198884710526	0.148040152457325	-0.11350306567818	-0.0332954216193735	0.0469122224394331
Dihomoglinolenic	Omega-6	-0.0152197962219978	-0.00963358666574628	-0.00404737710949475	0.00732202510147696	0.0177031890265045	0.0280843529515321	-0.0779750286236687	0.0034339308651163	0.0848428903539013	-0.0289731788241703	0.0354979565923078	0.099969092008786	-0.197906517215711	-0.074318462960045	0.0492695912956209	-0.224398740219102	-0.133722901136755	-0.0430470620544078
Docosapentaenoicn6	Omega-6	-0.0124260613321606	-0.00411780771299579	0.00419044590616903	0.00112148096304013	0.0165611707710839	0.0320008605791276	-0.326308372829876	-0.20523051574372	-0.0841526586575648	0.078525921552528	0.174412504173866	0.270299086795203	-0.0994298756277333	0.0843800743420238	0.268190024311781	-0.294787692543992	-0.15992739762655	-0.0250671027091077
Docosatetraenoic	Omega-6	-0.0129085103145054	-0.0060081260521003	0.000892258210304772	0.00186784119165073	0.0146912090679134	0.0275145769441761	-0.246604596478076	-0.146043903718793	-0.0454832109595093	0.0267778871200716	0.106416075363366	0.186054263606661	0.0219072709979703	0.17456983333466	0.327232395671349	-0.250771103280208	-0.138763466136703	-0.0267558289931977
Eicosadienoic	Omega-6	-0.0103390708567095	-0.00461806190985032	0.00110294703700883	-0.00706901731424696	0.00356265181592913	0.0141943209461052	-0.144475224108376	-0.0611018058898235	0.0222716123287288	-0.0686987782432095	-0.00267190638712788	0.0633549654689538	-0.0810275691626454	0.0455427567447168	0.172113082652079	-0.117299501302019	-0.0244355867942783	0.0684283277134626
gammaLinolenic	Omega-6	-0.0189295152432227	-0.0108013110027203	-0.00267310676221788	0.0034397815508807	0.0185448755841559	0.0336499696174311	-0.179687394841994	-0.0612334336956364	0.0572205274507215	-0.0543229356470621	0.0394856748258078	0.133294285298678	-0.102991828315378	0.0768347493596677	0.256661327034713	-0.216013258017213	-0.0840755402644949	0.0478621774882227
Linoleic	Omega-6	-0.0103128248851625	-0.00578575678172855	-0.00125868867829455	-0.0151895369233805	-0.00677663446988795	0.00163626798360458	-0.0524066930048493	0.013567184295008	0.0795410615948652	-0.0490112161829059	0.00323623672717783	0.0554836896372616	-0.126354670161173	-0.026198825173194	0.073957019814785	-0.166438500534028	-0.092954737576654	-0.0194709746192796
Elaidic	trans	-0.0250085787376512	-0.0135250877035642	-0.00204159666947724	-0.00587142563228146	0.0154689844715663	0.0368093945754141	-0.333322035609871	-0.165970802726455	0.00138043015696079	-0.0399863803740939	0.0925460099806509	0.225078400335396	-0.0190802533754472	0.234977940946486	0.48903613526842	-0.272420280100857	-0.0860192554659765	0.100381769168904
Palmitelaidic	trans	-0.0109621487143155	-0.0028400664983175	0.00528201571768051	0.00344813147914893	0.0185418486137787	0.0336355657484085	-0.105940570650099	0.0124241729973719	0.130788916644842	-0.0275402359402909	0.0661977194905737	0.159935674921438	-0.0889987712874914	0.090692364082895	0.270383499453281	-0.152935953424419	-0.021097608905597	0.110740735613225
Linoelaidic	trans	-0.0172169795362605	-0.00889522101973754	-0.000573462503214571	0.00225765166057159	0.0177224383705224	0.0331872250804733	-0.191498839247489	-0.0702241725660512	0.051050494115387	-0.00220094662073024	0.093841497691365	0.18988394200346	-0.0869291018085032	0.0971796274982282	0.28128835680496	-0.199641518392554	-0.0645620108073193	0.070517496777915
