Fatty_Acid	Class	age_pval	age_pval.adj	bmi_pval	bmi_pval.adj	education_pval	education_pval.adj	smoke_pval	smoke_pval.adj	diabetes_pval	diabetes_pval.adj	aspirin_pval	aspirin_pval.adj
Arachidic	saturated	0.00211384222184694	0.0126830533310816	0.495922007521793	0.612163268641027	0.7220117340875	0.7220117340875	0.510136057200856	0.612163268641027	0.260709933001937	0.588547643668856	0.294273821834428	0.588547643668856
Behenic	saturated	0.00111219698473069	0.00667318190838411	0.398302081695276	0.664924393566854	0.209523082942974	0.628569248828923	0.662430181955896	0.794916218347075	0.44328292904457	0.664924393566854	0.80108623384539	0.80108623384539
Lignoceric	saturated	0.00066875987312458	0.00401255923874748	0.0344272915935363	0.0688545831870727	0.0206946920528209	0.0620840761584626	0.583915866298155	0.700699039557786	0.918295585256972	0.918295585256972	0.323346841355912	0.485020262033868
Myristic	saturated	0.0389173302165492	0.116751990649648	0.00946168516592349	0.0567701109955409	0.414221422141676	0.414221422141676	0.111399960933456	0.167099941400184	0.0653878492389605	0.130775698477921	0.356139310972946	0.414221422141676
Palmitic	saturated	0.0140607991352394	0.0843647948114364	0.0282581115526821	0.0847743346580462	0.575285179673529	0.575285179673529	0.0736768494035876	0.147353698807175	0.174572701201539	0.261859051802308	0.464003383765899	0.556804060519079
Stearic	saturated	0.00152368894121864	0.00914213364731184	0.108754768141508	0.326264304424524	0.219227592834417	0.438455185668834	0.437464398325124	0.524957277990149	0.619158341075916	0.619158341075916	0.326250153313108	0.489375229969662
Eicosenoic	cis-monounsaturated	0.0461042184669518	0.24624116010813	0.183729423055149	0.367458846110297	0.307171316240106	0.368605579488128	0.464200019673391	0.464200019673391	0.280426397712214	0.368605579488128	0.0820803867027101	0.24624116010813
Nervonic	cis-monounsaturated	0.20281968070316	0.287987689075369	0.0507772100827846	0.287494777443647	0.143747388721824	0.287494777443647	0.382380075876517	0.382380075876517	0.132187341537512	0.287494777443647	0.239989740896141	0.287987689075369
Oleic	cis-monounsaturated	0.00958357361922187	0.0339423379053065	0.0113141126351022	0.0339423379053065	0.539016300677506	0.646819560813008	0.100397350992526	0.200794701985051	0.365420555908981	0.548130833863471	0.740405517156298	0.740405517156298
Palmitoleic	cis-monounsaturated	0.0301496835525414	0.0602993671050827	0.00072220328354043	0.00433321970124258	0.46405259264303	0.696078888964546	0.00282362970328078	0.00847088910984235	0.722544107888291	0.722544107888291	0.582321859501756	0.698786231402107
alphaLinolenic	Omega-3	0.0201349470690729	0.120809682414437	0.90470450091995	0.949142757999459	0.440076872122162	0.880153744244325	0.0549382938548053	0.164814881564416	0.863156412750422	0.949142757999459	0.949142757999459	0.949142757999459
Docosahexaenoic	Omega-3	0.169283207958992	0.315195863787248	0.210130575858166	0.315195863787248	0.011861419614369	0.0553223999377286	0.316555501611097	0.379866601933317	0.553825347112424	0.553825347112424	0.0184407999792429	0.0553223999377286
Docosapentaenoicn3	Omega-3	0.962548665602239	0.994305434805227	0.808555843684062	0.994305434805227	0.45941036965113	0.994305434805227	0.554536226444422	0.994305434805227	0.480683450470545	0.994305434805227	0.994305434805227	0.994305434805227
