Fatty_Acid	Class	Fstat.pval	Fstat.pval.adj
Arachidic	saturated	0.000651067890677259	0.00142051176147766
Behenic	saturated	0.000325268627582309	0.000867383006886158
Lignoceric	saturated	1.51677356052815e-06	9.1006413631689e-06
Myristic	saturated	0.000853495338733357	0.00154958859925745
Palmitic	saturated	0.000266024802576315	0.000798074407728944
Stearic	saturated	3.28658965240702e-05	0.000157756303315537
Eicosenoic	cis-monounsaturated	0.00337938522307279	0.00477089678551453
Nervonic	cis-monounsaturated	0.0663299770944901	0.0795959725133881
Oleic	cis-monounsaturated	0.00021117677283311	0.000724034649713521
Palmitoleic	cis-monounsaturated	0.00287589417064082	0.00431384125596124
alphaLinolenic	Omega-3	0.0908420561826463	0.103819492780167
Docosahexaenoic	Omega-3	0.00082180301248036	0.00154958859925745
Docosapentaenoicn3	Omega-3	0.384046196928356	0.400743857664371
Eicosapentaenoic	Omega-3	0.00101983257695348	0.00163173212312557
Arachidonic	Omega-6	0.463577173376055	0.463577173376055
Dihomoglinolenic	Omega-6	2.63206761941248e-08	3.15848114329498e-07
Docosapentaenoicn6	Omega-6	0.000162348622170128	0.00064939448868051
Docosatetraenoic	Omega-6	1.38434404939325e-06	9.1006413631689e-06
Eicosadienoic	Omega-6	0.00090392668290018	0.00154958859925745
gammaLinolenic	Omega-6	0.000605649947892806	0.00142051176147766
Linoleic	Omega-6	5.077012144028e-09	1.21848291456672e-07
Elaidic	trans	0.012664605329987	0.0168861404399827
Palmitelaidic	trans	0.0387644584219988	0.0489656316909459
Linoelaidic	trans	0.101365665235953	0.110580725711948
