Fatty_Acid	Class	age_l	age_m	age_u	bmi_l	bmi_m	bmi_u	education_l	education_m	education_u	smoke_l	smoke_m	smoke_u	diabetes_l	diabetes_m	diabetes_u	aspirin_l	aspirin_m	aspirin_u
Arachidic	saturated	-0.0186871622978647	-0.0124935712783646	-0.0062999802588646	-0.0238181250619579	-0.0131115635749361	-0.00240500208791433	-0.165194499390821	-0.0597061041809852	0.0457822910288504	-0.0979085720043874	-0.0192244284521146	0.0594597151001582	-0.14077893256809	-0.00191479597990827	0.136949340608274	-0.124657633918269	-0.0197429403384181	0.085171753241433
Behenic	saturated	-0.0163364673493272	-0.0108036090287506	-0.00527075070817408	-0.0133460172253264	-0.00378163242469511	0.00578275237593623	-0.115023357961291	-0.0207884717178464	0.0734464145255982	-0.0720662318136234	-0.0017761178910263	0.0685139960315708	-0.227724968963855	-0.103674867636108	0.0203752336916384	-0.142483523705236	-0.0487611365640076	0.0449612505772208
Lignoceric	saturated	-0.0192287245644662	-0.0139054392967027	-0.00858215402893922	-0.0186480179779248	-0.00944591198596863	-0.00024380599401248	-0.105220630718357	-0.0145551640492552	0.076110302619847	-0.0736718612981361	-0.00604418926430952	0.061583482769517	-0.21887988580244	-0.0995285417771059	0.0198228022482279	-0.091205063578813	-0.00103268362230985	0.0891396963341933
Myristic	saturated	-0.0289927771203408	-0.0189698736278024	-0.00894697013526406	-0.00319336239457285	0.0141327465111472	0.0314588554168673	-0.175946613760022	-0.00523789220541767	0.165470829349187	-0.0912181046795716	0.0361140964190291	0.16344629751763	-0.342231798496667	-0.117512110804022	0.107207576888622	-0.24028526505906	-0.0705049477295235	0.0992753696000129
Palmitic	saturated	-0.0142653467124466	-0.00925854000912034	-0.00425173330579404	-0.00324106992742717	0.00541395486417152	0.0140689796557702	-0.134327478752731	-0.0490522317115773	0.0362230153295766	-0.0363818140272932	0.0272252753240487	0.0908323646753907	-0.144915273997107	-0.0326595748829195	0.0795961242312676	-0.159544752567105	-0.0747332773761861	0.0100781978147324
Stearic	saturated	-0.0143371611132107	-0.0101953977124496	-0.00605363431168856	-0.00681920715615941	0.000340459081945575	0.00750012532005056	-0.115118329457695	-0.0445763816426804	0.0259655661723341	-0.0379994590717062	0.0146180135639569	0.06723548619962	-0.138140213745156	-0.0452793198326541	0.0475815740798475	-0.0946696929107892	-0.0245113894801949	0.0456469139503995
Eicosenoic	cis-monounsaturated	-0.016056694445031	-0.0102791983893546	-0.00450170233367812	-0.010224637330343	-0.000237359099285523	0.00974991913177193	-0.174823213953599	-0.0764216912625413	0.0219798314285161	-0.0646394903878863	0.00875853146829865	0.0821565533244836	-0.0829585926978752	0.0465764377694575	0.17611146823679	-0.160215228323587	-0.0623488651052707	0.0355174981130455
Nervonic	cis-monounsaturated	-0.00289971238617976	0.00316667788877153	0.00923306816372283	-0.0151721202359841	-0.00468544452902402	0.00580123117793604	-0.124228152762231	-0.0209062232376005	0.0824157062870297	-0.0547935376464094	0.0222746319720795	0.0993428015905685	-0.271642579412723	-0.135630362092301	0.000381855228121647	-0.202101840491907	-0.0993418302121711	0.00341818006756478
Oleic	cis-monounsaturated	-0.0161628701628717	-0.0105547890145302	-0.00494670786618873	-0.00407451187136212	0.00561990699644562	0.0153143258642534	-0.168548817025018	-0.0730327458665403	0.0224833252919374	-0.0417235622171908	0.0295221917790935	0.100767945775378	-0.12577940930393	-4.27657107333651e-05	0.125693877882463	-0.174755188105978	-0.0797585838102235	0.0152380204855312
Palmitoleic	cis-monounsaturated	-0.0195208733175149	-0.00997950870627143	-0.00043814409502799	0.00121974537154075	0.0177134412837739	0.034207137196007	-0.239788526141259	-0.0772813089577079	0.0852259082258435	0.00762872913359139	0.128843400943849	0.250058072754106	-0.303199636819243	-0.0892763483034464	0.12464694021235	-0.290471974453589	-0.128848557380912	0.0327748596917643
