Fatty_Acid	Class	age_pval	age_pval.adj	bmi_pval	bmi_pval.adj	education_pval	education_pval.adj	smoke_pval	smoke_pval.adj	diabetes_pval	diabetes_pval.adj	aspirin_pval	aspirin_pval.adj
Arachidic	saturated	8.55965351462476e-05	0.000513579210877486	0.0164990469854242	0.0494971409562726	0.266593759681458	0.533187519362917	0.631350061120034	0.854028051173509	0.978393043551314	0.978393043551314	0.711690042644591	0.854028051173509
Behenic	saturated	0.000142095630555519	0.000852573783333113	0.437548831942549	0.656323247913824	0.66483211194524	0.797798534334288	0.960416595906181	0.960416595906181	0.101194309168253	0.30358292750476	0.307112152971075	0.61422430594215
Lignoceric	saturated	4.23506114152282e-07	2.54103668491369e-06	0.044255484337345	0.132766453012035	0.752532963695963	0.982053842779356	0.86065391654388	0.982053842779356	0.101944813904295	0.203889627808591	0.982053842779356	0.982053842779356
Myristic	saturated	0.000224773277412955	0.00134863966447773	0.109628913749674	0.328886741249021	0.951943559879976	0.951943559879976	0.577542370039876	0.693050844047852	0.304652633952011	0.609305267904022	0.414869459532411	0.622304189298616
Palmitic	saturated	0.000311055708671656	0.00186633425202993	0.219596528327703	0.388331926024637	0.258887950683091	0.388331926024637	0.400700512585157	0.480840615102189	0.567766312835511	0.567766312835511	0.0840094409408978	0.252028322822693
Stearic	saturated	1.80641364096878e-06	1.08384818458127e-05	0.925586206923398	0.925586206923398	0.214933787118	0.644801361354	0.58535242899064	0.702422914788768	0.338446400966986	0.676892801933971	0.492687496803492	0.702422914788768
Eicosenoic	cis-monounsaturated	0.000518069849364169	0.00310841909618502	0.962768120008299	0.962768120008299	0.127644825849058	0.382934477547173	0.814695200705262	0.962768120008299	0.480159223227274	0.720238834840911	0.211212570107521	0.422425140215042
Nervonic	cis-monounsaturated	0.305506832740523	0.570561611855426	0.380374407903617	0.570561611855426	0.69107821419278	0.69107821419278	0.57031560009907	0.684378720118884	0.0506439267642625	0.174264556812941	0.0580881856043136	0.174264556812941
Oleic	cis-monounsaturated	0.000243420611610482	0.00146052366966289	0.255199862092855	0.382799793139282	0.133630534708815	0.26726106941763	0.415881066357788	0.499057279629346	0.999466974170696	0.999466974170696	0.0996387433642336	0.26726106941763
Palmitoleic	cis-monounsaturated	0.0404076476102934	0.0808152952205868	0.0353590851343484	0.0808152952205868	0.350504381947068	0.412563632281831	0.0372748242295574	0.0808152952205868	0.412563632281831	0.412563632281831	0.11788231983091	0.176823479746366
alphaLinolenic	Omega-3	0.0510541413960306	0.306324848376184	0.724060309147082	0.724060309147082	0.407500556090707	0.61125083413606	0.274700898291347	0.549401796582695	0.641486513092553	0.724060309147082	0.186639229879808	0.549401796582695
Docosahexaenoic	Omega-3	0.0266549582113944	0.129036078887981	0.044438951048388	0.129036078887981	0.113013704375814	0.16952055656372	0.341482018467617	0.341482018467617	0.311434772575966	0.341482018467617	0.0645180394439904	0.129036078887981
Docosapentaenoicn3	Omega-3	0.56483454001121	0.914902166081566	0.048654912995025	0.29192947797015	0.902802546188626	0.914902166081566	0.510050018442407	0.914902166081566	0.70081846019672	0.914902166081566	0.914902166081566	0.914902166081566
