Fatty_Acid	Class	Fstat	Fstat.pval	Fstat.pval.adj	Age.est	Age.se	Age.pval	Age.pval.adj	BMI.est	BMI.se	BMI.pval	BMI.pval.adj	Education.est	Education.se	Education.pval	Education.pval.adj	Smoking.est	Smoking.se	Smoking.pval	Smoking.pval.adj	Diabetes.est	Diabetes.se	Diabetes.pval	Diabetes.pval.adj	Aspirin.est	Aspirin.se	Aspirin.pval	Aspirin.pval.adj
Arachidic	saturated	3.99864411641428	0.000651067890677259	0.00142051176147766	-0.0124935712783646	0.00315157313819732	8.55965351462476e-05	0.000513579210877486	-0.0131115635749361	0.00544797218265142	0.0164990469854242	0.0494971409562726	-0.0597061041809852	0.0536771626812546	0.266593759681458	0.533187519362917	-0.0192244284521146	0.0400379735182163	0.631350061120034	0.854028051173509	-0.00191479597990827	0.0706602165613456	0.978393043551314	0.978393043551314	-0.0197429403384181	0.0533852379092271	0.711690042644591	0.854028051173509
Behenic	saturated	4.28495994805426	0.000325268627582309	0.000867383006886158	-0.0108036090287506	0.00281536310771585	0.000142095630555519	0.000852573783333113	-0.00378163242469511	0.0048667821504762	0.437548831942549	0.656323247913824	-0.0207884717178464	0.0479508794221117	0.66483211194524	0.797798534334288	-0.0017761178910263	0.0357667198595829	0.960416595906181	0.960416595906181	-0.103674867636108	0.0631221799928825	0.101194309168253	0.30358292750476	-0.0487611365640076	0.0476900972040399	0.307112152971075	0.61422430594215
Lignoceric	saturated	6.45724074404944	1.51677356052815e-06	9.1006413631689e-06	-0.0139054392967027	0.00270872306615416	4.23506114152282e-07	2.54103668491369e-06	-0.00944591198596863	0.00468243866406192	0.044255484337345	0.132766453012035	-0.0145551640492552	0.0461346008183041	0.752532963695963	0.982053842779356	-0.00604418926430952	0.0344119516302564	0.86065391654388	0.982053842779356	-0.0995285417771059	0.0607312443869361	0.101944813904295	0.203889627808591	-0.00103268362230985	0.0458836964829457	0.982053842779356	0.982053842779356
Myristic	saturated	3.88633849511378	0.000853495338733357	0.00154958859925745	-0.0189698736278024	0.00510009674748882	0.000224773277412955	0.00134863966447773	0.0141327465111472	0.00881629078265433	0.109628913749674	0.328886741249021	-0.00523789220541767	0.0868641503150019	0.951943559879976	0.951943559879976	0.0361140964190291	0.0647922575685798	0.577542370039876	0.693050844047852	-0.117512110804022	0.114347319531828	0.304652633952011	0.609305267904022	-0.0705049477295235	0.0863917371692355	0.414869459532411	0.622304189298616
Palmitic	saturated	4.36754272365762	0.000266024802576315	0.000798074407728944	-0.00925854000912034	0.00254768477038111	0.000311055708671656	0.00186633425202993	0.00541395486417152	0.00440405954441534	0.219596528327703	0.388331926024637	-0.0490522317115773	0.0433918185882632	0.258887950683091	0.388331926024637	0.0272252753240487	0.0323661012758941	0.400700512585157	0.480840615102189	-0.0326595748829195	0.0571206663184537	0.567766312835511	0.567766312835511	-0.0747332773761861	0.0431558309518738	0.0840094409408978	0.252028322822693
Stearic	saturated	5.21909182462323	3.28658965240702e-05	0.000157756303315537	-0.0101953977124496	0.0021075124653066	1.80641364096878e-06	1.08384818458127e-05	0.000340459081945575	0.00364315495218013	0.925586206923398	0.925586206923398	-0.0445763816426804	0.0358948640861119	0.214933787118	0.644801361354	0.0146180135639569	0.0267740980694871	0.58535242899064	0.702422914788768	-0.0452793198326541	0.0472517313336028	0.338446400966986	0.676892801933971	-0.0245113894801949	0.0356996488494661	0.492687496803492	0.702422914788768
Eicosenoic	cis-monounsaturated	3.30864757717841	0.00337938522307279	0.00477089678551453	-0.0102791983893546	0.0029398456110169	0.000518069849364169	0.00310841909618502	-0.000237359099285523	0.00508196903825341	0.962768120008299	0.962768120008299	-0.0764216912625413	0.0500710483941325	0.127644825849058	0.382934477547173	0.00875853146829865	0.0373481609215852	0.814695200705262	0.962768120008299	0.0465764377694575	0.0659131546127454	0.480159223227274	0.720238834840911	-0.0623488651052707	0.0497987355769586	0.211212570107521	0.422425140215042
Nervonic	cis-monounsaturated	1.98554545631787	0.0663299770944901	0.0795959725133881	0.00316667788877153	0.00308684777153744	0.305506832740523	0.570561611855426	-0.00468544452902402	0.00533608456919223	0.380374407903617	0.570561611855426	-0.0209062232376005	0.0525747690881318	0.69107821419278	0.69107821419278	0.0222746319720795	0.039215694484017	0.57031560009907	0.684378720118884	-0.135630362092301	0.0692090338584063	0.0506439267642625	0.174264556812941	-0.0993418302121711	0.0522888397149347	0.0580881856043136	0.174264556812941
Oleic	cis-monounsaturated	4.4621954929105	0.00021117677283311	0.000724034649713521	-0.0105547890145302	0.00285363981062	0.000243420611610482	0.00146052366966289	0.00561990699644562	0.00493294923704576	0.255199862092855	0.382799793139282	-0.0730327458665403	0.0486028029912608	0.133630534708815	0.26726106941763	0.0295221917790935	0.036252991810142	0.415881066357788	0.499057279629346	-4.27657107333651e-05	0.0639803673164387	0.999466974170696	0.999466974170696	-0.0797585838102235	0.0483384752683635	0.0996387433642336	0.26726106941763
Palmitoleic	cis-monounsaturated	3.37707078131646	0.00287589417064082	0.00431384125596124	-0.00997950870627143	0.00485506845961694	0.0404076476102934	0.0808152952205868	0.0177134412837739	0.00839272222252495	0.0353590851343484	0.0808152952205868	-0.0772813089577079	0.0826908620259885	0.350504381947068	0.412563632281831	0.128843400943849	0.0616793880044486	0.0372748242295574	0.0808152952205868	-0.0892763483034464	0.10885363395784	0.412563632281831	0.412563632281831	-0.128848557380912	0.0822411454269753	0.11788231983091	0.176823479746366
alphaLinolenic	Omega-3	1.83421615600971	0.0908420561826463	0.103819492780167	-0.00904036935340022	0.00462130746002038	0.0510541413960306	0.306324848376184	-0.00282204540038329	0.00798863087913976	0.724060309147082	0.724060309147082	-0.0652560569040597	0.0787094766499683	0.407500556090707	0.61125083413606	-0.0642066664851196	0.0587096594590428	0.274700898291347	0.549401796582695	-0.048276787702426	0.103612567947061	0.641486513092553	0.724060309147082	-0.103534873194801	0.0782814129282718	0.186639229879808	0.549401796582695
Docosahexaenoic	Omega-3	3.90205806066406	0.00082180301248036	0.00154958859925745	0.00769897137475847	0.00346204459734704	0.0266549582113944	0.129036078887981	-0.0120624428257028	0.00598466919039478	0.044438951048388	0.129036078887981	0.0936296019168385	0.058965070113477	0.113013704375814	0.16952055656372	-0.0418819368617416	0.043982241194869	0.341482018467617	0.341482018467617	-0.0786576767921332	0.0776211784612127	0.311434772575966	0.341482018467617	0.108675115669307	0.0586443869068649	0.0645180394439904	0.129036078887981
Docosapentaenoicn3	Omega-3	1.06285117260642	0.384046196928356	0.400743857664371	-0.00160430253118957	0.00278476097250049	0.56483454001121	0.914902166081566	-0.00951684577438818	0.00481388171819293	0.048654912995025	0.29192947797015	0.00579545668880623	0.0474296680402658	0.902802546188626	0.914902166081566	-0.0233241075251016	0.0353779465626846	0.510050018442407	0.914902166081566	-0.0240041926594048	0.062436061217675	0.70081846019672	0.914902166081566	0.00504347090875903	0.0471717204450806	0.914902166081566	0.914902166081566
Eicosapentaenoic	Omega-3	3.81226630349358	0.00101983257695348	0.00163173212312557	0.00563534007622481	0.0054172761488862	0.298779518137019	0.358535421764423	-0.0271734001401181	0.00936458348599656	0.00389288225920242	0.0233572935552145	0.123618022724715	0.0922663065022095	0.180986371417339	0.358535421764423	-0.0363247108316984	0.0688217437701712	0.597891735848416	0.597891735848416	-0.136785122496031	0.121458677640545	0.260685482988826	0.358535421764423	0.1803397870201	0.0917645135767634	0.0499991324885893	0.149997397465768
Arachidonic	Omega-6	0.943303301799099	0.463577173376055	0.463577173376055	-0.00345884279484795	0.00226225667678284	0.126981667368098	0.553630355744412	0.0027118910345076	0.0039106537924676	0.488376447053095	0.553630355744412	-0.0228397981960644	0.0385304463331874	0.553630355744412	0.553630355744412	0.0219935969052155	0.0287399876013185	0.444516301781864	0.553630355744412	-0.0403695128311791	0.0507211921441428	0.426502964773215	0.553630355744412	-0.0241258870853839	0.0383208974077212	0.529291340700642	0.553630355744412
