Fatty_Acid	Class	Fstat.pval	Fstat.pval.adj
Arachidic	saturated	0.147500266756788	0.16857173343633
Behenic	saturated	0.0425767708464991	0.0601083823715282
Lignoceric	saturated	0.000750679316207314	0.00353061340076621
Myristic	saturated	0.00221106061511089	0.00758077925180878
Palmitic	saturated	0.00502380523621482	0.0105803852142544
Stearic	saturated	0.00617189137498175	0.0105803852142544
Eicosenoic	cis-monounsaturated	0.0696734149799491	0.0928978866399321
Nervonic	cis-monounsaturated	0.107459367129545	0.135738147953109
Oleic	cis-monounsaturated	0.00422228458940166	0.010133483014564
Palmitoleic	cis-monounsaturated	0.00012283346819153	0.00073700080914918
alphaLinolenic	Omega-3	0.295587275952594	0.317624634273814
Docosahexaenoic	Omega-3	0.00361854512257265	0.00964945366019372
Docosapentaenoicn3	Omega-3	0.969266636207693	0.969266636207693
Eicosapentaenoic	Omega-3	0.0117285745656535	0.0187657193050455
Arachidonic	Omega-6	0.0244381416450514	0.0366572124675771
Dihomoglinolenic	Omega-6	6.100457511371e-07	4.8803660090968e-06
Docosapentaenoicn6	Omega-6	3.32938549396644e-07	4.8803660090968e-06
Docosatetraenoic	Omega-6	5.82641406232653e-07	4.8803660090968e-06
Eicosadienoic	Omega-6	0.304390274512405	0.317624634273814
gammaLinolenic	Omega-6	0.000882653350191553	0.00353061340076621
Linoleic	Omega-6	0.0059973538304936	0.0105803852142544
Elaidic	trans	0.00327632000535094	0.00964945366019372
Palmitelaidic	trans	0.142044753035991	0.16857173343633
Linoelaidic	trans	0.00589415692595274	0.0105803852142544
