Fatty_Acid	Class	age_l	age_m	age_u	bmi_l	bmi_m	bmi_u	education_l	education_m	education_u	smoke_l	smoke_m	smoke_u	diabetes_l	diabetes_m	diabetes_u	aspirin_l	aspirin_m	aspirin_u	gleason_l	gleason_m	gleason_u
Arachidic	saturated	-0.0184564910465738	-0.0111657053341027	-0.00387491962163152	-0.0178769605789887	-0.00454983644592072	0.00877728768714724	-0.122734654346257	-0.0187452620842312	0.0852441301777948	-0.109908169942019	-0.027436241610317	0.0550356867213855	-0.0674476817926825	0.0905561518186699	0.248559985430022	-0.0542712740649919	0.0616413232447817	0.177553920554555	-0.0630660252918155	-0.00188298527442318	0.0593000547429691
Behenic	saturated	-0.01656891734247	-0.0103381880412617	-0.00410745874005348	-0.0164083428875174	-0.0050189390411381	0.00637046480524121	-0.0323505594742712	0.0565191150621149	0.145388789598501	-0.0553808545252092	0.0150999250023676	0.0855807045299445	-0.0832327542328616	0.0517978384372126	0.186828431107287	-0.111181094048785	-0.0121218095053132	0.0869374750381589	-0.0455067651333237	0.00678046085403213	0.0590676868413879
Lignoceric	saturated	-0.0164634875145555	-0.01049333195381	-0.00452317639306452	-0.0229077270000492	-0.011994636506156	-0.00108154601226284	0.014901444418815	0.100054522969694	0.185207601520572	-0.0497403957382475	0.017792825090435	0.0853260459191174	-0.1376584896848	-0.00827497698048892	0.121108535723822	-0.14151911093146	-0.046602559453931	0.0483139920235976	-0.0372359143952796	0.0128646208540745	0.0629651561034287
Myristic	saturated	-0.022121265423276	-0.0115725755653771	-0.0010238857074783	0.00550558451173327	0.0247879643157343	0.0440703441197352	-0.213938375558785	-0.0634810873124547	0.0869762009338753	-0.0249095126214674	0.0944151840934384	0.213739880808344	-0.0175260673893942	0.211082137933963	0.439690343257321	-0.244047413410562	-0.0763390088756698	0.0913693956592219	-0.0599479824175032	0.0285748379148655	0.117097658247234
Palmitic	saturated	-0.01293834039714	-0.00714015301092271	-0.00134196562470545	0.00116751299037587	0.0117662558543621	0.0223649987183483	-0.106303150024736	-0.0236028751445255	0.0590973997356853	-0.00602024649172802	0.0595677043037444	0.125155655099217	-0.0390585155419734	0.0865981518117566	0.212254819165487	-0.1263818622567	-0.0341993477609596	0.0579831667347811	-0.0474099994832824	0.00124740794435001	0.0499048153719824
Stearic	saturated	-0.0129719653008056	-0.00810501353996904	-0.0032380617791325	-0.00200494729250258	0.00689155204574743	0.0157880513839974	-0.113366597447239	-0.0439486532451122	0.025469290957015	-0.0345185677914756	0.0205354294926549	0.0755894267767854	-0.0806582224267318	0.0248169714057104	0.130292165238153	-0.114744947655225	-0.0373676879430165	0.040009571769192	-0.0254458833029862	0.0153967523318296	0.0562393879666454
Eicosenoic	cis-monounsaturated	-0.01411791885956	-0.00692135091836661	0.000275217022826777	-0.00408449351993766	0.00907040611183795	0.0222253057436136	-0.155641348984356	-0.0529957966268134	0.0496497557307291	-0.0503994839197059	0.0310066715876628	0.112412827095032	-0.0692369729987838	0.0867249998799539	0.242686972758692	-0.0139606905229867	0.100453985024684	0.214868660572354	-0.0700634247664081	-0.00967104434288869	0.0507213360806307
Nervonic	cis-monounsaturated	-0.0110312879752687	-0.00437402439562431	0.00228323918402003	-0.0243570920042754	-0.0121880087790326	-1.89255537897653e-05	-0.024499442329392	0.0704539441884914	0.165407330706375	-0.0423705392851996	0.0329351117760479	0.108240762837295	-0.255488167511242	-0.11121384531497	0.0330604768813027	-0.0421029046609274	0.0637376374870038	0.169578179634935	-0.0497068677004918	0.00615976177717712	0.0620263912548461
Oleic	cis-monounsaturated	-0.0156461292617441	-0.00893956731250065	-0.00223300536325717	0.00327398393647002	0.0155331816592603	0.0277923793820505	-0.125902371516287	-0.0302458361614605	0.0654106991933656	-0.0132980414968057	0.0625652629868288	0.138428567470463	-0.0797426994943366	0.0656000029416854	0.210942705377707	-0.0878036039115231	0.0188207086404125	0.125445021192348	-0.0456930911716427	0.0105872418818722	0.0668675749353872
Palmitoleic	cis-monounsaturated	-0.0217732035929357	-0.0113093734359118	-0.000845543278887979	0.0138124277102805	0.0329396890110012	0.0520669503117219	-0.204804687928076	-0.0555577642528007	0.0936891594224748	0.0620402110079426	0.180404991543055	0.298769772078167	-0.267623134481984	-0.040853984451998	0.185915165577988	-0.21287987341119	-0.0465206113039134	0.119838650803363	-0.0882012944906062	-0.000390602408779333	0.0874200896730476
alphaLinolenic	Omega-3	-0.0209219460317563	-0.0112525154892587	-0.00158308494676104	-0.0187790425712895	-0.00110389667919238	0.0165712492129047	-0.192118588021448	-0.0542022858162927	0.083714016388863	-0.216297994499305	-0.106919305540561	0.00245938341818383	-0.22807905833925	-0.0185259107354249	0.1910272368684	-0.148624073492474	0.00510542191296209	0.158834917318399	-0.0796333986173065	0.00151082632062672	0.08265505125856
Docosahexaenoic	Omega-3	-0.00174148827384202	0.00563409895271441	0.0130096861792708	-0.0043976550334498	0.00908448124089581	0.0225666175152414	0.0307646460182151	0.135963572925807	0.241162499833398	-0.124079478496617	-0.0406482921825965	0.0427828941314243	-0.205134124132719	-0.0452924962355465	0.114549131661627	0.0217219286973793	0.138982743351768	0.256243558006157	-0.0855512479441034	-0.0236565679698625	0.0382381120043784
Docosapentaenoicn3	Omega-3	-0.00712972733681478	-0.000485006064552783	0.00615971520770922	-0.0139328214859729	-0.00178666485520038	0.0103594917755721	-0.059566912355657	0.0352075816568518	0.129982075669361	-0.0987588421539573	-0.023595067197199	0.0515687077595594	-0.0939905508241218	0.0500119580550545	0.194014466934231	-0.104919936373121	0.000721201830944668	0.10636234003501	-0.0423376202866105	0.0134237562698031	0.0691851328262167
Eicosapentaenoic	Omega-3	-0.00774577731572903	0.00334219827618182	0.0144301738680927	-0.0132572602374729	0.0070109019230273	0.0272790640835275	0.0424423738299105	0.200591562229	0.358740750628089	-0.248126855007	-0.122701864556994	0.00272312589301242	-0.327975224264827	-0.0876797719496868	0.152615680365454	-0.0242336350571081	0.152048606727521	0.328330848512151	-0.116719832998297	-0.023671418039217	0.0693769969198635
Arachidonic	Omega-6	-0.00606107966185249	-0.00102032883031098	0.00402042200123053	0.000415187386334032	0.00962938112417872	0.0188435748620234	-0.103719355549107	-0.031822493374202	0.0400743688007028	0.00988045443936922	0.0669004324927299	0.123920410546091	-0.0746060045858659	0.0346357132581795	0.143877431102225	-0.110613423642586	-0.0304730184355129	0.0496673867715602	-0.00799290476467817	0.0343082232627667	0.0766093512902115
Dihomoglinolenic	Omega-6	-0.0163791411139877	-0.010684150681623	-0.00498916024925828	0.0063448588080666	0.01675496375724	0.0271650687064135	-0.0792544942855773	0.00197386948139618	0.0832022332483696	-0.0322203340258973	0.0322002732049962	0.0966208804358897	-0.202830250920625	-0.0794100385895442	0.0440101737415365	-0.220746162681884	-0.130204325532488	-0.0396624883830925	-0.00502072526844221	0.0427706707845268	0.0905620668374958
Docosapentaenoicn6	Omega-6	-0.0137277063437808	-0.0052429724244966	0.00324176149478757	3.60212088968814e-05	0.0155456118947032	0.0310552025805095	-0.3278130817706	-0.206794256287619	-0.0857754308046375	0.0749030171458734	0.170880651834521	0.266858286523169	-0.104951794226335	0.0789269452250236	0.262805684676383	-0.291053557017798	-0.156158967483467	-0.0212643779491355	-0.0253946293253544	0.0458078220143568	0.117010273354068
Docosatetraenoic	Omega-6	-0.0141926904719178	-0.00715228816855976	-0.000111885865201676	0.000789065281296537	0.0136585033835705	0.0265279414858444	-0.248052188882682	-0.147634046630326	-0.0472159043779694	0.0231849501911476	0.102824590839988	0.182464231488828	0.0164470373775452	0.169024632984827	0.321602228592109	-0.246863284687505	-0.134931409403881	-0.0229995341202574	-0.0125006184874472	0.0465812463283133	0.105663111144074
Eicosadienoic	Omega-6	-0.0113253893429455	-0.00548562167587101	0.000354145991203442	-0.00789514537611048	0.00277960377667995	0.0134543529294704	-0.145600869790146	-0.0623075301420282	0.0209858095060893	-0.0714534446116295	-0.00539514588959543	0.0606631528324387	-0.0852196691746632	0.0413381141955251	0.167895897565713	-0.114373512480486	-0.0215299336576476	0.0713136451651906	-0.0136861592568607	0.0353201828518814	0.0843265249606235
gammaLinolenic	Omega-6	-0.0210106752200999	-0.012742518147586	-0.00447436107507213	0.00167906648855093	0.0167927675356974	0.031906468582844	-0.181861063032828	-0.0639313003150777	0.0539984624026729	-0.0601354660895861	0.0333922940739342	0.126920054237455	-0.111758490361814	0.0674266572860404	0.246611804933894	-0.209025341467954	-0.0775740001398293	0.0538773411882949	0.00964565080629934	0.0790306258951146	0.14841560098393
Linoleic	Omega-6	-0.0104498165791493	-0.00581800242982628	-0.00118618828050325	-0.015272420689735	-0.00680573896793661	0.00166094275386181	-0.0525417772418211	0.0135223696765087	0.0795865165948386	-0.0492591482779993	0.0031350187752606	0.0555291858285205	-0.126734462648644	-0.0263551042323761	0.0740242541838914	-0.166485662719743	-0.0928467396355235	-0.0192078165513037	-0.0375566124291122	0.00131278815776949	0.0401821887446512
Elaidic	trans	-0.0242599705109011	-0.012519835413538	-0.000779700316174846	-0.00508395910800666	0.0163763119727785	0.0378365830535637	-0.332024736370454	-0.16457371504081	0.00287730628883495	-0.0371006285405577	0.0957014614588839	0.228503551458326	-0.0145789550091504	0.239849912557968	0.494278780125087	-0.276036675209742	-0.089386071890645	0.0972645314284521	-0.139447162295206	-0.040925935118979	0.0575952920572481
Palmitelaidic	trans	-0.01053834672845	-0.00223299637963283	0.00607235396918438	0.00390809397026683	0.0190897821219256	0.0342714702735843	-0.105192383255217	0.0132678718335273	0.131728126922272	-0.0258451919820364	0.0681032911787959	0.162051774339628	-0.0863566504400903	0.0936345393097065	0.273625729059503	-0.15517348235813	-0.0231308235192734	0.108911835319583	-0.0944121961793688	-0.02471510140933	0.0449819933607088
Linoelaidic	trans	-0.0173583613667906	-0.0088440451766733	-0.000329728986555979	0.0022049636902291	0.017768629013678	0.0333322943371269	-0.191593810114658	-0.0701530489875655	0.0512877121395271	-0.00231012663743818	0.0940021368575217	0.190314400352481	-0.0870921859522889	0.0974276520559202	0.281947490064129	-0.20009831366893	-0.0647334102367804	0.0706314931953696	-0.0735341769624753	-0.00208347621157999	0.0693672245393154
