Fatty_Acid	Class	age_pval	age_pval.adj	bmi_pval	bmi_pval.adj	education_pval	education_pval.adj	smoke_pval	smoke_pval.adj	diabetes_pval	diabetes_pval.adj	aspirin_pval	aspirin_pval.adj	gleason_pval	gleason_pval.adj
Arachidic	saturated	0.00276535152095109	0.0193574606466576	0.502569944516005	0.718961376373371	0.723284246473838	0.843831620886144	0.513543840266694	0.718961376373371	0.260590031889968	0.691833914424961	0.296500249039269	0.691833914424961	0.951792734094365	0.951792734094365
Behenic	saturated	0.00119784122459286	0.00838488857215002	0.386899825252953	0.78974066876826	0.211973837896816	0.741908432638855	0.673897255151607	0.81004371357766	0.451280382153291	0.78974066876826	0.81004371357766	0.81004371357766	0.79893660133851	0.81004371357766
Lignoceric	saturated	0.000605865600127558	0.00424105920089291	0.0313024319963372	0.0730390079914535	0.0213919094720181	0.0730390079914535	0.604831090754716	0.716370257756277	0.900021957350639	0.900021957350639	0.335071159255249	0.586374528696685	0.61403164950538	0.716370257756277
Myristic	saturated	0.0316164253577907	0.110657488752267	0.0118722400629383	0.0831056804405679	0.407401768101136	0.475302062784658	0.120635552000137	0.211112216000239	0.0702490484497126	0.163914446382663	0.371460921588296	0.475302062784658	0.526119465342992	0.526119465342992
Palmitic	saturated	0.0159170799296334	0.103774483767471	0.0296498525049918	0.103774483767471	0.575116686492857	0.670969467575	0.074951965258588	0.174887918936705	0.176270837986398	0.308473966476196	0.46627962894073	0.652791480517022	0.959835958944789	0.959835958944789
Stearic	saturated	0.00114943771001158	0.00804606397008106	0.128606858230132	0.450124003805463	0.214043513179718	0.49943486408601	0.463870289550869	0.541182004476014	0.64398645015944	0.64398645015944	0.343053063755706	0.541182004476014	0.459127548509238	0.541182004476014
Eicosenoic	cis-monounsaturated	0.0593859050351968	0.297937164159813	0.176056166431307	0.41079772167305	0.310777724870012	0.435088814818017	0.454484523819753	0.530231944456379	0.275028710347187	0.435088814818017	0.0851249040456609	0.297937164159813	0.753104199744408	0.753104199744408
Nervonic	cis-monounsaturated	0.197260658202814	0.332096468624635	0.0496463482604691	0.332096468624635	0.145468261403791	0.332096468624635	0.390478505783767	0.455558256747728	0.130480343940318	0.332096468624635	0.237211763303311	0.332096468624635	0.828534432721207	0.828534432721207
Oleic	cis-monounsaturated	0.00910640794607068	0.045977458835345	0.0131364168100986	0.045977458835345	0.534615022105352	0.728806267006528	0.105757519218175	0.246767544842409	0.37550770219863	0.657138478847603	0.728806267006528	0.728806267006528	0.711755628316938	0.728806267006528
Palmitoleic	cis-monounsaturated	0.0342135104305774	0.079831524338014	0.000777635833227236	0.00544345083259065	0.464770326960768	0.813348072181345	0.00289668580825617	0.0101384003288966	0.72343816938101	0.844011197611179	0.582856525639557	0.81599913589538	0.993028214583199	0.993028214583199
alphaLinolenic	Omega-3	0.0226641865138759	0.158649305597131	0.902358305553618	0.970824264689309	0.440266258572174	0.970824264689309	0.0553543418487658	0.19374019647068	0.862132700065322	0.970824264689309	0.947985139969812	0.970824264689309	0.970824264689309	0.970824264689309
Docosahexaenoic	Omega-3	0.13398195562524	0.312624563125559	0.1860780769825	0.325636634719374	0.0114271035624782	0.0710153133404226	0.338798489671538	0.474317885540153	0.577856213691594	0.577856213691594	0.020290089525835	0.0710153133404226	0.452925556824069	0.528413149628081
Docosapentaenoicn3	Omega-3	0.885990443582249	0.98930027227555	0.77262862796131	0.98930027227555	0.465689119596852	0.98930027227555	0.537559664805004	0.98930027227555	0.495215565965184	0.98930027227555	0.98930027227555	0.98930027227555	0.636333779695193	0.98930027227555
Eicosapentaenoic	Omega-3	0.553858405825944	0.617314954949195	0.496944849369379	0.617314954949195	0.0130432244520323	0.0913025711642264	0.055162402407093	0.193068408424826	0.473652564692642	0.617314954949195	0.090742362944434	0.211732180203679	0.617314954949195	0.617314954949195
Arachidonic	Omega-6	0.690938231881772	0.690938231881772	0.0405739566857238	0.142008848400033	0.384808709273286	0.622416737238646	0.0215813496440778	0.142008848400033	0.533500060490268	0.622416737238646	0.455246220652701	0.622416737238646	0.111645328074606	0.260505765507413
Dihomoglinolenic	Omega-6	0.000255619840938669	0.00178933888657068	0.0016698622632409	0.00584451792134316	0.96192786022018	0.96192786022018	0.326432659624249	0.380838102894958	0.206689839136633	0.289365774791286	0.00492575672912645	0.0114934323679617	0.0792865368533354	0.138751439493337
Docosapentaenoicn6	Omega-6	0.225206925121373	0.262741412641602	0.0494726443829673	0.0865771276701928	0.000853273444720986	0.00298645705652345	0.000515019140886057	0.00298645705652345	0.399328095898441	0.399328095898441	0.0233776714336432	0.0545479000118341	0.206736185608999	0.262741412641602
Docosatetraenoic	Omega-6	0.0464842749288781	0.0542316540836912	0.037566965982255	0.052593752375157	0.00405193627778684	0.0283635539445079	0.0115108254829515	0.0402878891903303	0.0299965034490666	0.0524938810358666	0.0182598400755532	0.0426062935096241	0.121964322557511	0.121964322557511
Eicosadienoic	Omega-6	0.0655354003334962	0.367096507042321	0.609054336694637	0.756899261350357	0.142214125802039	0.367096507042321	0.872540705413841	0.872540705413841	0.521214317259628	0.756899261350357	0.648770795443163	0.756899261350357	0.157327074446709	0.367096507042321
gammaLinolenic	Omega-6	0.00260053765654134	0.0182037635957894	0.0295128375379187	0.068863287588477	0.287236033237805	0.402130446532927	0.483217252248223	0.483217252248223	0.459939217075762	0.483217252248223	0.246728471277023	0.402130446532927	0.0256844267050668	0.068863287588477
Linoleic	Omega-6	0.0139428044924749	0.0487998157236623	0.114860500729434	0.268007835035346	0.687655447484689	0.947103221466429	0.906434293208386	0.947103221466429	0.606082367890405	0.947103221466429	0.0135889210808668	0.0487998157236623	0.947103221466429	0.947103221466429
Elaidic	trans	0.0366635370680129	0.150699511000711	0.13438152751494	0.220334005404411	0.0540503769436907	0.150699511000711	0.157381432431722	0.220334005404411	0.0645855047145902	0.150699511000711	0.347094785769343	0.4049439167309	0.414680612503752	0.414680612503752
Palmitelaidic	trans	0.597459274580187	0.825864984357311	0.0138430547456028	0.0969013832192199	0.825864984357311	0.825864984357311	0.15494257134398	0.542298999703929	0.307124356944384	0.716623499536896	0.730780528970738	0.825864984357311	0.486190335822112	0.825864984357311
Linoelaidic	trans	0.0417998439793229	0.130032409936516	0.0253435886052745	0.130032409936516	0.256832672169031	0.405743583485312	0.0557281756870781	0.130032409936516	0.29994712660747	0.405743583485312	0.347780214415982	0.405743583485312	0.954322131701975	0.954322131701975
