Fatty_Acid	Class	Fstat	Fstat.pval	Fstat.pval.adj	Age.est	Age.se	Age.pval	Age.pval.adj	BMI.est	BMI.se	BMI.pval	BMI.pval.adj	Education.est	Education.se	Education.pval	Education.pval.adj	Smoking.est	Smoking.se	Smoking.pval	Smoking.pval.adj	Diabetes.est	Diabetes.se	Diabetes.pval	Diabetes.pval.adj	Aspirin.est	Aspirin.se	Aspirin.pval	Aspirin.pval.adj	Gleason.est	Gleason.se	Gleason.pval	Gleason.pval.adj
Arachidic	saturated	1.55357523658867	0.147500266756788	0.16857173343633	-0.0111657053341027	0.00370936243808163	0.00276535152095109	0.0193574606466576	-0.00454983644592072	0.00678049467045684	0.502569944516005	0.718961376373371	-0.0187452620842312	0.0529071023107816	0.723284246473838	0.843831620886144	-0.027436241610317	0.0419595754441792	0.513543840266694	0.718961376373371	0.0905561518186699	0.0803882473830381	0.260590031889968	0.691833914424961	0.0616413232447817	0.0589733194086189	0.296500249039269	0.691833914424961	-0.00188298527442318	0.0311283419151867	0.951792734094365	0.951792734094365
Behenic	saturated	2.09831554826672	0.0425767708464991	0.0601083823715282	-0.0103381880412617	0.00317003326434661	0.00119784122459286	0.00838488857215002	-0.0050189390411381	0.00579463290871876	0.386899825252953	0.78974066876826	0.0565191150621149	0.0452145825717977	0.211973837896816	0.741908432638855	0.0150999250023676	0.0358587903275097	0.673897255151607	0.81004371357766	0.0517978384372126	0.0687000589779377	0.451280382153291	0.78974066876826	-0.0121218095053132	0.0503987915322027	0.81004371357766	0.81004371357766	0.00678046085403213	0.02660238274967	0.79893660133851	0.81004371357766
Lignoceric	saturated	3.65972289424101	0.000750679316207314	0.00353061340076621	-0.01049333195381	0.00303746011196748	0.000605865600127558	0.00424105920089291	-0.011994636506156	0.00555229704422522	0.0313024319963372	0.0730390079914535	0.100054522969694	0.043323675049638	0.0213919094720181	0.0730390079914535	0.017792825090435	0.0343591490058593	0.604831090754716	0.716370257756277	-0.00827497698048892	0.0658269713388354	0.900021957350639	0.900021957350639	-0.046602559453931	0.0482910765297547	0.335071159255249	0.586374528696685	0.0128646208540745	0.0254898512877496	0.61403164950538	0.716370257756277
Myristic	saturated	3.25799898792451	0.00221106061511089	0.00758077925180878	-0.0115725755653771	0.00536689946365193	0.0316164253577907	0.110657488752267	0.0247879643157343	0.0098103741054189	0.0118722400629383	0.0831056804405679	-0.0634810873124547	0.0765487610754909	0.407401768101136	0.475302062784658	0.0944151840934384	0.0607093069780722	0.120635552000137	0.211112216000239	0.211082137933963	0.116309918204453	0.0702490484497126	0.163914446382663	-0.0763390088756698	0.085325681053582	0.371460921588296	0.475302062784658	0.0285748379148655	0.0450381121601558	0.526119465342992	0.526119465342992
Palmitic	saturated	2.94706265592204	0.00502380523621482	0.0105803852142544	-0.00714015301092271	0.00294996717056209	0.0159170799296334	0.103774483767471	0.0117662558543621	0.00539236513333634	0.0296498525049918	0.103774483767471	-0.0236028751445255	0.0420757522381911	0.575116686492857	0.670969467575	0.0595677043037444	0.0333694461291485	0.074951965258588	0.174887918936705	0.0865981518117566	0.0639308492058892	0.176270837986398	0.308473966476196	-0.0341993477609596	0.0469000695128809	0.46627962894073	0.652791480517022	0.00124740794435001	0.02475562532825	0.959835958944789	0.959835958944789
Stearic	saturated	2.86810367137056	0.00617189137498175	0.0105803852142544	-0.00810501353996904	0.00247617866737209	0.00114943771001158	0.00804606397008106	0.00689155204574743	0.00452630783253915	0.128606858230132	0.450124003805463	-0.0439486532451122	0.0353180473144013	0.214043513179718	0.49943486408601	0.0205354294926549	0.0280100441359405	0.463870289550869	0.541182004476014	0.0248169714057104	0.053663039565434	0.64398645015944	0.64398645015944	-0.0373676879430165	0.0393675403526392	0.343053063755706	0.541182004476014	0.0153967523318296	0.02077967237974	0.459127548509238	0.541182004476014
Eicosenoic	cis-monounsaturated	1.88938540963304	0.0696734149799491	0.0928978866399321	-0.00692135091836661	0.00366142688277109	0.0593859050351968	0.297937164159813	0.00907040611183795	0.00669287131665035	0.176056166431307	0.41079772167305	-0.0529957966268134	0.052223391465192	0.310777724870012	0.435088814818017	0.0310066715876628	0.0414173379079217	0.454484523819753	0.530231944456379	0.0867249998799539	0.0793494016668076	0.275028710347187	0.435088814818017	0.100453985024684	0.058211215715182	0.0851249040456609	0.297937164159813	-0.00967104434288869	0.0307260748462473	0.753104199744408	0.753104199744408
Nervonic	cis-monounsaturated	1.69857544714499	0.107459367129545	0.135738147953109	-0.00437402439562431	0.00338704282866266	0.197260658202814	0.332096468624635	-0.0121880087790326	0.00619131352940357	0.0496463482604691	0.332096468624635	0.0704539441884914	0.0483098172417281	0.145468261403791	0.332096468624635	0.0329351117760479	0.0383135596680697	0.390478505783767	0.455558256747728	-0.11121384531497	0.073403028512979	0.130480343940318	0.332096468624635	0.0637376374870038	0.0538489193007241	0.237211763303311	0.332096468624635	0.00615976177717712	0.0284234902929893	0.828534432721207	0.828534432721207
Oleic	cis-monounsaturated	3.01341193481525	0.00422228458940166	0.010133483014564	-0.00893956731250065	0.0034121245588988	0.00910640794607068	0.045977458835345	0.0155331816592603	0.00623716144559694	0.0131364168100986	0.045977458835345	-0.0302458361614605	0.0486675611100843	0.534615022105352	0.728806267006528	0.0625652629868288	0.0385972792478307	0.105757519218175	0.246767544842409	0.0656000029416854	0.0739465926344888	0.37550770219863	0.657138478847603	0.0188207086404125	0.0542476813287619	0.728806267006528	0.728806267006528	0.0105872418818722	0.0286339719290246	0.711755628316938	0.728806267006528
Palmitoleic	cis-monounsaturated	4.31980572881418	0.00012283346819153	0.00073700080914918	-0.0113093734359118	0.00532372505154515	0.0342135104305774	0.079831524338014	0.0329396890110012	0.00973145383917996	0.000777635833227236	0.00544345083259065	-0.0555577642528007	0.0759329590133655	0.464770326960768	0.813348072181345	0.180404991543055	0.0602209265535944	0.00289668580825617	0.0101384003288966	-0.040853984451998	0.115374254629111	0.72343816938101	0.844011197611179	-0.0465206113039134	0.0846392724219226	0.582856525639557	0.81599913589538	-0.000390602408779333	0.0446757997993443	0.993028214583199	0.993028214583199
alphaLinolenic	Omega-3	1.21021236559064	0.295587275952594	0.317624634273814	-0.0112525154892587	0.00491955515722092	0.0226641865138759	0.158649305597131	-0.00110389667919238	0.00899265522886088	0.902358305553618	0.970824264689309	-0.0542022858162927	0.0701682330511841	0.440266258572174	0.970824264689309	-0.106919305540561	0.0556490365168974	0.0553543418487658	0.19374019647068	-0.0185259107354249	0.106615199672347	0.862132700065322	0.970824264689309	0.00510542191296209	0.07821357510299	0.947985139969812	0.970824264689309	0.00151082632062672	0.0412840744361964	0.970824264689309	0.970824264689309
Docosahexaenoic	Omega-3	3.07207692361892	0.00361854512257265	0.00964945366019372	0.00563409895271441	0.00375250724626085	0.13398195562524	0.312624563125559	0.00908448124089581	0.00685936082247093	0.1860780769825	0.325636634719374	0.135963572925807	0.0535224821283703	0.0114271035624782	0.0710153133404226	-0.0406482921825965	0.0424476209948742	0.338798489671538	0.474317885540153	-0.0452924962355465	0.0813232693904855	0.577856213691594	0.577856213691594	0.138982743351768	0.059659257382071	0.020290089525835	0.0710153133404226	-0.0236565679698625	0.0314904058448475	0.452925556824069	0.528413149628081
Docosapentaenoicn3	Omega-3	0.258628849577155	0.969266636207693	0.969266636207693	-0.000485006064552783	0.00338066162837428	0.885990443582249	0.98930027227555	-0.00178666485520038	0.00617964907351156	0.77262862796131	0.98930027227555	0.0352075816568518	0.0482188013806041	0.465689119596852	0.98930027227555	-0.023595067197199	0.0382413767904474	0.537559664805004	0.98930027227555	0.0500119580550545	0.0732647369558864	0.495215565965184	0.98930027227555	0.000721201830944668	0.0537474677523519	0.98930027227555	0.98930027227555	0.0134237562698031	0.028369940339939	0.636333779695193	0.98930027227555
